Empresa,Yhaguy R,
,,
CODIGO,STOCK,ORIGEN
SC 5073,0,INVENTARIO
REI R-175,13,INVENTARIO
SC-259,13,INVENTARIO
CIP 1368061,13,INVENTARIO
IC 133517605,1,INVENTARIO
MB-132,2,INVENTARIO
SC-1352886,9,INVENTARIO
SC-1352885,10,INVENTARIO
SC 378613,9,INVENTARIO
SC-1368061,0,INVENTARIO
SC 378617,1,INVENTARIO
SC 1730173,0,INVENTARIO
SC-1302665,2,INVENTARIO
SC 1749137,2,INVENTARIO
EUR 74530651,1,INVENTARIO
CIN 14.33.0044,1,INVENTARIO
CIN 14.33.0045,2,INVENTARIO
CIN 05.35.0106L,0,INVENTARIO
CIN 14.33.0123,1,INVENTARIO
RYG 3142620437,0,INVENTARIO
SC 1543361,0,INVENTARIO
CIN 14.33.0445,0,INVENTARIO
CIN 14.33.0385,2,INVENTARIO
CIN 14.33.0446,1,INVENTARIO
CIN 14.33.0449,0,INVENTARIO
CIN 14.33.0039,0,INVENTARIO
SC-1883363,2,INVENTARIO
CIN 14.33.0131,2,INVENTARIO
CEI0117,0,INVENTARIO
CIN 14.33.0330,3,INVENTARIO
SC 804725,7,INVENTARIO
FAL 34131,0,INVENTARIO
SC-1339840,0,INVENTARIO
SC 1534417,10,INVENTARIO
M2217,16,INVENTARIO
S3457,37,INVENTARIO
S2369,0,INVENTARIO
RFI 1A0405,2,INVENTARIO
S3155,0,INVENTARIO
ABR AR180,1,INVENTARIO
ABR AF190,1,INVENTARIO
S667,2,INVENTARIO
S2457,1,INVENTARIO
S2285,77,INVENTARIO
MB-3838,0,INVENTARIO
M94,0,INVENTARIO
S2278,100,INVENTARIO
MB-3205,31,INVENTARIO
M93,0,INVENTARIO
M1833,0,INVENTARIO
S3040,9,INVENTARIO
S3047,110,INVENTARIO
S3048,0,INVENTARIO
S3049,0,INVENTARIO
S3050,3,INVENTARIO
S3051,1,INVENTARIO
MB-2974,20,INVENTARIO
S3052,33,INVENTARIO
S3053,0,INVENTARIO
S4154,74,INVENTARIO
M2994,0,INVENTARIO
M2558,96,INVENTARIO
SC-1795,20,INVENTARIO
MB-55,29,INVENTARIO
SC-284814,6,INVENTARIO
JP 030,20,INVENTARIO
JP 030A,1,INVENTARIO
SC-1993,19,INVENTARIO
SC-1022 MRA,28,INVENTARIO
SC-1994,22,INVENTARIO
M2375,15,INVENTARIO
SC-876,1,INVENTARIO
S1238,7,INVENTARIO
S4869,0,INVENTARIO
SC-1782,0,INVENTARIO
SC-1024,17,INVENTARIO
M2378,6,INVENTARIO
MB-39,0,INVENTARIO
M90,3,INVENTARIO
M24,62,INVENTARIO
SC-4128,2,INVENTARIO
S2282,56,INVENTARIO
S774,6,INVENTARIO
PRIO 7355,0,INVENTARIO
AC 115/2,0,INVENTARIO
S1894,608,INVENTARIO
M17,35,INVENTARIO
IAS 61.45.6010,0,INVENTARIO
RODA A203,5,INVENTARIO
RODA A205,0,INVENTARIO
ZM 1600701,41,INVENTARIO
MAXG MX399,3,INVENTARIO
MP-9308,1,INVENTARIO
TIP PH-536,1,INVENTARIO
M95,15,INVENTARIO
SC-4457,2,INVENTARIO
M1414,0,INVENTARIO
SC-322289,2,INVENTARIO
S1073,17,INVENTARIO
M75,8,INVENTARIO
S1912,124,INVENTARIO
M1409,320,INVENTARIO
M76,420,INVENTARIO
ZM 1600601,0,INVENTARIO
MB-35,10,INVENTARIO
MB-36,4,INVENTARIO
MB-34,10,INVENTARIO
M2299,2,INVENTARIO
MB-2640,6,INVENTARIO
MB-30,7,INVENTARIO
MB-113,51,INVENTARIO
S952,2,INVENTARIO
BOE 0910,7,INVENTARIO
MB-38,0,INVENTARIO
S579,0,INVENTARIO
S620,14,INVENTARIO
S623,0,INVENTARIO
M3023,2,INVENTARIO
MB-4559,4,INVENTARIO
M1625,7,INVENTARIO
MB-1959,8,INVENTARIO
S4236,2,INVENTARIO
SC-2245,8,INVENTARIO
SC-769,0,INVENTARIO
S577,0,INVENTARIO
SC-1973,5,INVENTARIO
CIP 1670497,0,INVENTARIO
SC-1202,0,INVENTARIO
S1244,0,INVENTARIO
FAL 30208,0,INVENTARIO
S1549,2,INVENTARIO
SC-1385170,16,INVENTARIO
SC 1393470,10,INVENTARIO
SC-1747,4,INVENTARIO
SC-1356776,10,INVENTARIO
SC-5418,10,INVENTARIO
ARL 32,7,INVENTARIO
SC-1336357,16,INVENTARIO
PRIO 1336357,0,INVENTARIO
MAH A94050 0.25,2,INVENTARIO
MAH A68150 0.10,0,INVENTARIO
MAH A68010,2,INVENTARIO
MAH A94050 0.50,10,INVENTARIO
COF NA.7547.020,1,INVENTARIO
MAH A68150 0.20,0,INVENTARIO
MAH A68010 0.20,2,INVENTARIO
MAH A45020 0.25,0,INVENTARIO
MAH A48020 0.25,4,INVENTARIO
MET NO.6407.025,1,INVENTARIO
MAH A48040 025,1,INVENTARIO
M194,0,INVENTARIO
VAR NA6587.030,4,INVENTARIO
MAH A45020 050,4,INVENTARIO
MAH A48000 0.50,2,INVENTARIO
M195,1,INVENTARIO
COF NO.7196.0.75,10,INVENTARIO
QUI QA-089A,2,INVENTARIO
MAH A48030 0.50,1,INVENTARIO
MAH A48000 0.75,2,INVENTARIO
MAH A48030 1.00,2,INVENTARIO
MAH A94100 STD,4,INVENTARIO
COF NN.6157 STD,1,INVENTARIO
MAH A45020 STD,2,INVENTARIO
MAH A48020 STD,0,INVENTARIO
MAH A48015 STD,2,INVENTARIO
MAH A48000 STD,5,INVENTARIO
COF NN.6408.000,1,INVENTARIO
MAH A68150 STD,7,INVENTARIO
MAH A68010 STD,7,INVENTARIO
BEL 1.01.02.741.9,1,INVENTARIO
BEP M-156V,1,INVENTARIO
ARE 11.2022,0,INVENTARIO
ARE 10.2021,0,INVENTARIO
M1533,0,INVENTARIO
KS 50.011.570,0,INVENTARIO
M2111,1,INVENTARIO
KS 50.011.478,1,INVENTARIO
MAH A48517 STD,6,INVENTARIO
M2737,2,INVENTARIO
COF CC6462-STD,1,INVENTARIO
MAH A76830 STD,6,INVENTARIO
MAH A48525 STD,1,INVENTARIO
COF LC.7173,8,INVENTARIO
MAH A48100 STD,0,INVENTARIO
MAH A48565 STD,1,INVENTARIO
MAH A48279 STD,0,INVENTARIO
MAH A48930 STD,6,INVENTARIO
MAH A48940 STD,8,INVENTARIO
MAH A76060 STD,15,INVENTARIO
MAH A76020 STD,16,INVENTARIO
SAM 033.138/2,2,INVENTARIO
SC 1520131,2,INVENTARIO
ABRO SF650,4,INVENTARIO
MB-48,1,INVENTARIO
S946,33,INVENTARIO
S2296,0,INVENTARIO
SC-446,6,INVENTARIO
S4809,0,INVENTARIO
SC-761,0,INVENTARIO
SC-4809,9,INVENTARIO
SC-1034,4,INVENTARIO
CIP 177526,10,INVENTARIO
IC 130300400,1,INVENTARIO
IC 130300300,2,INVENTARIO
M2470,8,INVENTARIO
MB-2471,2,INVENTARIO
IC 130300200,2,INVENTARIO
M37,4,INVENTARIO
MIL 633.712,3,INVENTARIO
SC-1004,3,INVENTARIO
S1003,2,INVENTARIO
CIP 291071,4,INVENTARIO
MB-51,4,INVENTARIO
M2387,2,INVENTARIO
S1011,4,INVENTARIO
SC 264380,2,INVENTARIO
M2455,4,INVENTARIO
M2718,2,INVENTARIO
CIN 32.33.0027,0,INVENTARIO
CIN 32.33.0031,1,INVENTARIO
KL 67.182,1,INVENTARIO
M790,38,INVENTARIO
ZM 3-639,2,INVENTARIO
M156,1,INVENTARIO
BK 5.N531,1,INVENTARIO
IM 70531,1,INVENTARIO
ZM 531,1,INVENTARIO
SC-497,1,INVENTARIO
SC-4896,1,INVENTARIO
ZM 901,0,INVENTARIO
ZM-833,3,INVENTARIO
ZM-536,2,INVENTARIO
MB-2990,1,INVENTARIO
M116,0,INVENTARIO
M495,1,INVENTARIO
MB-3123,1,INVENTARIO
S242,0,INVENTARIO
ABR GS10A,12,INVENTARIO
GRA 305-DCB,1,INVENTARIO
SC 1304569,1,INVENTARIO
SC 1384025,2,INVENTARIO
SC-2092740,1,INVENTARIO
SC-2519,1,INVENTARIO
ROTA 2096112F,2,INVENTARIO
SC-1525889,2,INVENTARIO
GRA 157C,3,INVENTARIO
GRA 218 D,1,INVENTARIO
GRA 218-D,0,INVENTARIO
GRA 218-E,2,INVENTARIO
S2562,1,INVENTARIO
S2570,18,INVENTARIO
S2561,1,INVENTARIO
S2569,0,INVENTARIO
SC 1376871,0,INVENTARIO
S253,7,INVENTARIO
S154,2,INVENTARIO
S3458,19,INVENTARIO
FAL 31857,5,INVENTARIO
M2735,3,INVENTARIO
S988,1,INVENTARIO
S2188,1,INVENTARIO
S3345,1,INVENTARIO
M3726,2,INVENTARIO
SC-262,0,INVENTARIO
SC-1799,2,INVENTARIO
S4217,1,INVENTARIO
ROC 345825-3,0,INVENTARIO
MB-165,5,INVENTARIO
SC 1306312,3,INVENTARIO
S2159,3,INVENTARIO
CHA 48X838-50,0,INVENTARIO
HEL F70NE,0,INVENTARIO
SOL BM155G51,0,INVENTARIO
