Empresa,Yhaguy,,,,,,,,,
,,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,ESTADO,SALDO,COSTO,MAYORISTA,DOLARES,MINORISTA,AUTOCENTRO
VALV11027,BOLIGRAFO ECOLOGICO VALVOLINE,RETAIL SHOP,VALVOLINE,A,49,"3158,54",0,0,6000,6000
VALV11031,BOLSITAS DE GOLF VALVOLINE,RETAIL SHOP,VALVOLINE,A,1,"11223,3",14029,0,24000,24000
VALV11044,BOLIGRAFOS VALVOLINE,RETAIL SHOP,VALVOLINE,A,5,"2953,5",3692,0,6500,6500
VALV11048,AGENDA CON BOLIGRAFOS VALVOLINE,RETAIL SHOP,VALVOLINE,A,1,"10238,8",12799,0,25000,25000
VALV11057,REMERA VALVOLINE BLANCA TALLE M,RETAIL SHOP,VALVOLINE,A,0,"19650,62",24563,0,70000,70000
VALV11057L,REMERA VALVOLINE BLANCA TALLE L,RETAIL SHOP,VALVOLINE,A,2,0,0,0,0,0
VALV11064,REMERA VALVOLINE NEGRO TALLE S,RETAIL SHOP,VALVOLINE,A,0,25399,31749,0,70000,70000
VALV11064L,REMERA VALVOLINE NEGRO TALLE L,RETAIL SHOP,VALVOLINE,A,3,0,0,0,88000,88000
VALV11064M,REMERA VALVOLINE NEGRO TALLE M,RETAIL SHOP,VALVOLINE,A,1,0,0,0,88000,88000
VALV110662XL,REMERA VALVOLINE MARRON TALLE 2XL,RETAIL SHOP,VALVOLINE,A,2,0,0,0,88000,88000
VALV11066D,REMERA VALVOLINE MARRON D.,RETAIL SHOP,VALVOLINE,A,5,"40097,337",0,0,88000,88000
VALV11072L,CAMISA DAMA VALVOLINE MANGA 3/4 L.,RETAIL SHOP,VALVOLINE,A,0,"192670,92",0,0,305000,305000
VALV11072M,CAMISA DAMA VALVOLINE MANGA 3/4 M.,RETAIL SHOP,VALVOLINE,A,0,"192670,92",0,0,305000,305000
VALV11072X,CAMISA DAMA VALVOLINE MANGA 3/4 X.,RETAIL SHOP,VALVOLINE,A,0,"192670,92",0,0,305000,305000
VALV11076L,CHAQUETA VALVOLINE MARRON L.,RETAIL SHOP,VALVOLINE,A,0,"447013,5",0,0,735000,735000
VALV11078,GORRO CAMUFLAJEADO VALVOLINE,RETAIL SHOP,VALVOLINE,A,0,"27570,3",0,0,0,0
VALV11079,PORTA TARJETA VALVOLINE,RETAIL SHOP,VALVOLINE,A,2,41349,51686,0,90000,90000
VALV11086,KEPIS VALVOLINE AZUL/BLANCO,RETAIL SHOP,VALVOLINE,A,2,"22382,966",27979,0,60000,60000
VALV12007L,REMERA CORPORATIVA VALVOLINE P/DAMAS L.,RETAIL SHOP,VALVOLINE,A,0,"117508,1",0,0,180000,180000
VALV12007M,REMERA CORPORATIVA VALVOLINE P/DAMAS M.,RETAIL SHOP,VALVOLINE,A,0,"117508,1",0,0,180000,180000
VALV12007X,REMERA CORPORATIVA VALVOLINE P/DAMAS X.,RETAIL SHOP,VALVOLINE,A,0,"117508,1",0,0,180000,180000
VALV12017L,REMERA VALVOLINE GRIS ACERO L.,RETAIL SHOP,VALVOLINE,A,2,"101447,9",0,0,195000,195000
VALV12017M,REMERA VALVOLINE GRIS ACERO M.,RETAIL SHOP,VALVOLINE,A,1,"101447,9",0,0,195000,195000
