Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,APLICACION,MODELO,GRUPO,LINEA,PESO,VOLUMEN
VAL 745152,VALVOLINE ALL FLEET MAX V GALON 5X4 25W60 MEX,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,GALON,Sin linea,0,5
VAL 01VE838,VALVOLINE HP GEAR OIL 80W90 X 20 LT ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,PESADA,0,20
VAL 01VE355,VALVOLINE TURBO DIESEL SAE 40 X 20 LT ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,PESADA,0,20
VAL 01VE127,VALVOLINE VALVO HD 68 X 20 LT ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,PESADA,0,20
VAL VV400,VALVOLINE ALL FLEET SAE 40 19L BD,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,LIVIANA,0,19
VAL 01VA365,VALVOLINE 15W40 20 LT.FLEET CLASSIC ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,CONSTRUCTORA,0,20
VAL VV829,VALVOLINE CAJA HP GEAR OIL 85W140 19L BD,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,OTROS,0,19
VAL 01VE366,VALVOLINE 15W40 19 LT.FLEET CLASSIC,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,OTROS,0,19
VAL VV349,VALVOLINE FLUIDO ATF DEXRON III  19L.BD,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL VX404,VALVOLINE 15W40 19L. ALL FLEET EXTRA AMERICANO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL VV319 BAL,DRIVE TRAIN TRASMISSION OIL SAE 10 TO-4 19L.,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,0
VAL VV045,VALVOLINE HIDRAULICO ISO 68 19L.BD,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL VB826,VALVOLINE 85W140 BALDE 19 LTS ECO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL MX384 BD,VALVOLINE ALL FLEET PLUS 15W40 X 19 L MEX CI-4.,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 744396,VALVOLINE ALL FLEET PLUS 25W60 BALDE 19 LT MEX,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 01VE406,VALVOLINE ALL FLEET MAX V 25W60 BALDE 19 LTS ARGEN,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 01VA405,VALVOLINE ALL FLEET MAX V 25W60 BALDE 19 LTS ARGEN,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 01VE839,VALVOLINE 80W90 HP GEAR OIL 19 LTS ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
VAL 01VE356,VALVOLINE SAE 40 TURBO DIESEL BALDE 19 LTS.ARGENTINO,LUBRICANTES,VALVOLINE,Sin Color,VARIOS,BALDE,Sin linea,0,19
