Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
YHAGUY BATERIAS S.A.,5.985,Compras  CREDITO,6/3/2017,6/3/2017,5308000,5308000,58348
YHAGUY BATERIAS S.A.,5.969,Compras  CREDITO,6/3/2017,6/3/2017,7519182,7519182,58348
YHAGUY BATERIAS S.A.,6.013,Compras  CREDITO,7/3/2017,7/3/2017,1053658,1053658,58348
YHAGUY BATERIAS S.A.,6.057,Compras  CREDITO,8/3/2017,8/3/2017,5401068,5401068,58348
YHAGUY BATERIAS S.A.,6.122,Compras  CREDITO,9/3/2017,9/3/2017,3310000,3310000,58348
YHAGUY BATERIAS S.A.,6.154,Compras  CREDITO,10/3/2017,10/3/2017,526829,526829,58348
YHAGUY BATERIAS S.A.,6.160,Compras  CREDITO,10/3/2017,10/3/2017,852109,852109,58348
YHAGUY BATERIAS S.A.,6.162,Compras  CREDITO,10/3/2017,10/3/2017,961100,961100,58348
YHAGUY BATERIAS S.A.,6.188,Compras  CREDITO,13/3/2017,13/3/2017,5639386,5639386,58348
YHAGUY BATERIAS S.A.,6.204,Compras  CREDITO,13/3/2017,13/3/2017,20602052,20602052,58348
YHAGUY BATERIAS S.A.,6.215,Compras  CREDITO,14/3/2017,14/3/2017,13612280,13612280,58348
YHAGUY BATERIAS S.A.,6.360,Compras  CREDITO,20/3/2017,20/3/2017,3044436,3044436,58348
YHAGUY BATERIAS S.A.,6.363,Compras  CREDITO,20/3/2017,20/3/2017,907680,907680,58348
YHAGUY BATERIAS S.A.,6.362,Compras  CREDITO,20/3/2017,20/3/2017,969108,969108,58348
YHAGUY BATERIAS S.A.,6.420,Compras  CREDITO,22/3/2017,22/3/2017,17425500,17425500,58348
YHAGUY BATERIAS S.A.,6.482,Compras  CREDITO,23/3/2017,23/3/2017,1329124,1329124,58348
YHAGUY BATERIAS S.A.,6.491,Compras  CREDITO,23/3/2017,23/3/2017,4391669,4391669,58348
YHAGUY BATERIAS S.A.,6.591,Compras  CREDITO,27/3/2017,27/3/2017,1298840,1298840,58348
YHAGUY BATERIAS S.A.,6.570,Compras  CREDITO,27/3/2017,27/3/2017,7301291,7301291,58348
YHAGUY BATERIAS S.A.,6.690,Compras  CREDITO,29/3/2017,29/3/2017,4432135,4432135,58348
YHAGUY BATERIAS S.A.,6.694,Compras  CREDITO,29/3/2017,29/3/2017,12126018,12126018,58348
YHAGUY BATERIAS S.A.,6.702,Compras  CREDITO,29/3/2017,29/3/2017,2204984,2204984,58348
YHAGUY BATERIAS S.A.,6.709,Compras  CREDITO,29/3/2017,29/3/2017,1318888,1318888,58348
YHAGUY BATERIAS S.A.,6.748,Compras  CREDITO,30/3/2017,30/3/2017,6057173,6057173,58348
YHAGUY BATERIAS S.A.,6.756,Compras  CREDITO,30/3/2017,30/3/2017,5833170,5833170,58348
YHAGUY BATERIAS S.A.,6.738,Compras  CREDITO,30/3/2017,30/3/2017,13119600,13119600,58348
YHAGUY BATERIAS S.A.,6.763,Compras  CREDITO,30/3/2017,30/3/2017,10219473,10219473,58348
YHAGUY BATERIAS S.A.,6.794,Compras  CREDITO,31/3/2017,31/3/2017,7943291,7943291,58348
YHAGUY BATERIAS S.A.,6.793,Compras  CREDITO,31/3/2017,31/3/2017,8449438,8449438,58348
YHAGUY BATERIAS S.A.,6.833,Compras  CREDITO,3/4/2017,3/4/2017,13365500,13365500,58348
YHAGUY BATERIAS S.A.,6.934,Compras  CREDITO,6/4/2017,6/4/2017,44269985,44269985,58348
YHAGUY BATERIAS S.A.,6.947,Compras  CREDITO,6/4/2017,6/4/2017,2908455,2908455,58348
YHAGUY BATERIAS S.A.,6.948,Compras  CREDITO,6/4/2017,6/4/2017,1462986,1462986,58348
YHAGUY BATERIAS S.A.,6.996,Compras  CREDITO,7/4/2017,7/4/2017,3014030,3014030,58348
YHAGUY BATERIAS S.A.,7.068,Compras  CREDITO,10/4/2017,10/4/2017,4401591,4401591,58348
YHAGUY BATERIAS S.A.,7.082,Compras  CREDITO,10/4/2017,10/4/2017,2908455,2908455,58348
YHAGUY BATERIAS S.A.,7.121,Compras  CREDITO,11/4/2017,11/4/2017,13470327,13470327,58348
YHAGUY BATERIAS S.A.,7.117,Compras  CREDITO,11/4/2017,11/4/2017,19532000,19532000,58348
YHAGUY BATERIAS S.A.,7.158,Compras  CREDITO,11/4/2017,11/4/2017,1616673,1616673,58348
YHAGUY BATERIAS S.A.,7.112,Compras  CREDITO,11/4/2017,11/4/2017,800794,800794,58348
YHAGUY BATERIAS S.A.,7.229,Compras  CREDITO,17/4/2017,17/4/2017,376445,376445,58348
