Empresa,Yhaguy Repuestos,
,,
CODIGO,POSITIVO,NEGATIVO
LUB LAF-1394,0,-1
MD620563,0,-2
SAK A-6012,0,-1
PABS060,1,0
PAB352,0,-1
PABS053,0,-1
PAB5466,21,0
PABS057,5,0
PABS122,0,-1
PABS115,1,0
PAB7351,2,0
PABS003,6,0
L28113-1G000,0,-2
PABS256,2,0
PABS076,0,-1
PABS049,5,0
TEC ARS-9841,0,-1
TEC AP-4807,0,-2
LAN EF-469,0,-2
TEC AP-780,0,-1
LAN EF-521,1,0
TEC ARS-1029,0,-1
TEC ARL-4150,3,0
TEC ARS-5673,0,-1
LUB AF-1043,4,0
TEC ARS-2869,1,0
TEC ARL-8838,3,0
TEC ARL-6091,2,0
TEC ARL-6090,0,-2
PABS096,0,-1
28113-B4000,0,-4
TEC AS-837,0,-2
TEC AS-950,1,0
TEC ASR-870,1,0
TEC ASR-868,0,-7
TEC AS-840,0,-1
TEC ASR-807,7,0
TEC ASR-837,2,0
TEC ASR-838,0,-1
28113-0X000,0,-2
TEC AR-2867,0,-1
TEC ARS-6223,0,-2
PABS121,1,0
TEC AP-9836,1,0
TEC ARS-9838,0,-4
TEC AP-2032,0,-1
PABS118,1,0
L16546-R9000,5,0
PAB-4309,0,-3
TEC ARS-1013,0,-1
TEC ARS-7109,0,-1
TEC ARS-5134,1,0
TEC ARS-2868,0,-5
TEC ARS-1187,0,-11
TEC ARS-1188,0,-1
TEC ARS-1189,0,-1
AOY C311254,0,-1
TEC ARS-1180,0,-5
TEC AP-5773,1,0
TEC AP-4650,0,-2
TEC ASR-470,2,0
E2319008403,0,-1
17801-67020,0,-2
TEC ARL-7710,0,-1
L17801-22020,0,-2
SAK A-1180,0,-1
AOY 17801-15070,4,0
17801-15070,0,-7
NP 17801-15070,0,-5
17801-54140,1,0
TEC ARS-7065,1,0
LAMP-189,0,-1
TEC AP-1008,0,-2
17801-67060,0,-1
17801-23030,0,-9
AOY 17801-23030,0,-1
TEC AP-5573,0,-1
TEC GI-14,0,-1
PFBS8078,0,-1
TEC PD-202,0,-1
TEC PEC-3022,0,-1
TEC GU-86,3,0
TEC PSC-999,2,0
TEC PSC-75,0,-6
TEC PC-811,0,-2
TEC GI-40/7,0,-1
TEC GI-50/7,0,-1
TEC GI-60/7,0,-2
TEC GI-04/7,0,-1
TEC PEC-3021,3,0
TEC PD-204/1,1,0
TEC PSD-960/1,0,-1
TEC GI-12/7,1,0
VIC FC-511,0,-2
PFB63180C,0,-2
TEC PSC-744,1,0
TEC PC-2/155,8,0
TEC FC-164,1,0
TEC PEC-3023,0,-6
TEC PSC-499,2,0
TEC PSC-498/3,0,-7
PFBS036,0,-1
L31922-2E900,1,0
31922-2E900,0,-1
TEC PSC-455,0,-2
LAN BR-90-PM,2,0
PFBRF03C,1,0
PFBRF03,0,-1
TEC PSC-84,0,-4
MAN WK1060/1,5,0
TEC AG-68,0,-2
TEC PSC-491,0,-1
LAN BR-1178,0,-1
LUB FP-251-F,1,0
LUB 262-F,0,-1
TEC FC-165,1,0
TEC PSC-410,0,-4
TEC PD-204,1,0
TEC PSD-460/1,0,-3
TEC PSA-299,0,-1
TEC PSA-761,0,-15
TEC ACP-009,0,-6
MB-756,0,-1
LUB LFH-4990,1,0
LUB LH-4914,0,-1
TEC PSH-173,0,-15
TEC TH-661,0,-1
TEC TH-225,0,-2
TEC PSH-974,2,0
TEC PH-346,0,-1
LUB LAF-4502,1,0
TEC PC-945,0,-3
LAMP-043,0,-21
TEC PSA-331,0,-3
LTB-1374X,0,-2
TEC DSF-0203,0,-1
MAN TB1374 3X,0,-1
PAR R26-A50-RCR,0,-1
TEC PSD-480/1,0,-6
TEC PSD-470/1,0,-10
PAR 690-30M M14,1,0
LAN PF-2040-N12,0,-2
LUB LFH-5013,0,-1
BD 2-2505,0,-11
LMB-668,0,-6
TEC ARS-7993,1,0
TEC GI-03/7,0,-3
LAN TJ-350-D110M,0,-1
LAN DR-4429,1,0
LAN L1-90,0,-1
PAR 690-30MB,0,-1
PAR 719179C,0,-2
PAR KR-20014,2,0
PAR KR-27004,0,-1
LUB 15W40 4L,0,-4
RAC OIL 20W50,0,-6
XCEL 85W140 1L,0,-6
CAS C2Q4T20W50,0,-1
CAS C2Q4T10W40,0,-3
SC-2989,18,0
VAL 861800,0,-1
VAL ZXRU1,0,-4
WYN 51514,28,0
CAS CQAXSLIP80W90,0,-1
CAS 002927,0,-8
CAS CGCRBVIS25W60,0,-3
CAS 000330,0,-5
CAS CQGTX10W30,0,-12
CAS CQMAGD10W40,0,-1
CAS CGVECTON15W40,0,-1
CAS CQCRBG315W40,0,-1
CAS CQCRBVIS15W40,0,-2
CAS CQD40,0,-2
VAL 836607,0,-7
VAL 665801,0,-1
VAL 665856,0,-13
VAL 655484,6,0
VAL 779571,1,0
VAL E14045618C,3,0
VAL 845246,2,0
VAL 845327,2,0
VAL 836609,0,-1
VAL 754568,1,0
VAL 666387,1,0
VAL E15010602,0,-3
VAL 759100,1,0
VAL 754567,0,-29
VAL 836608,1,0
VAL 665804,0,-23
CAS CQEDGET5W40,0,-18
CAS CQGEAR90,1,0
VAL PYBF12,0,-2
MOV 11674,0,-1
LUB 4634,0,-1
VAL VV-608,0,-4
VAL 881797,7,0
CAHP002,0,-1
L10565,0,-8
LB11168 CJ04,0,-1
CAS C2QMAG10W40,0,-1
L54148,0,-2
PUR TO4 SAE50,0,-1
CAS C2QRACING5W40,0,-5
VAL 875391,0,-4
VAL 877311,0,-11
PUM PQLAM07,0,-6
PUM PQ-LAM4T20W50,0,-8
PUM PQ-LAG85W140,0,-1
PUM PP-LAG85W140,0,-1
PUM PQ-LAM15W40,0,-1
PUM PP-LAM15W40,0,-4
PUM PQ-LAM20W50,0,-3
PUM PQLAM40,0,-12
PUM PPLAM36,0,-2
PUM PPLAM37,0,-5
VAL 822388,0,-3
CAS CQRXVIS25W60,0,-18
SHE 000372,0,-1
VAL VV916,1,0
CAS C2QTRADOMMV,0,-3
VAL VV467,1,0
VAL VV743,0,-8
VAL 884569,1,0
VAL 884577,0,-1
VAL 818474 FRAC,1,0
VAL 874241,0,-1
VAL 859865,0,-2
VAL VV388,0,-2
VAL 773634,0,-13
VAL 854097,0,-6
VAL 854096,0,-1
VAL 745292,43,0
VAL 847651,0,-43
VAL 710992,0,-2
VAL 847652,0,-1
VAL 710994,4,0
VAL ZXEDRU1,3,0
VAL VV749,2,0
VAL VV825,0,-10
VAL VV820,5,0
VAL VV831,0,-2
VAL VV135,0,-5
VAL 773631,0,-2
VAL VV165,0,-2
VAL 804751,0,-5
VAL VV296,0,-5
VAL VV301,23,0
VAL VV311,0,-1
VAL VV360,9,0
VAL VV353,0,-80
VAL VV370,0,-1
VAL VV346,1,0
VAL 601458,0,-1
VAL VV608,0,-5
VAL VV616,0,-1
VAL MX897,5,0
VAL VV813,0,-2
VAL 881807,0,-11
VAL MX827,0,-1
VAL 720625,0,-22
VAL 880953,2,0
VAL VV150,0,-1
VAL VV161,0,-7
VAL VV324,0,-17
VAL VV633,0,-4
VAL VV174,2,0
VAL 774038,1,0
VAL VV855,0,-1
VAL VV945,0,-4
VAL VV955,5,0
VAL VV966,7,0
VAL 679082,1,0
VAL 675130,0,-7
SAC 481002,1,0
ABR 1,0,-1
ABR 1/2,0,-54
ABR 911,1,0
ABR 2,0,-1
ABR 2 1/2,2,0
ABR 32-50,0,-1
SC-1659,7,0
ABR 3 1/2,8,0
FX-3209,0,-27
HEL 06-80,0,-1
ABR 3/4,68,0
ABR 3/8,8,0
ABR 35-50,0,-2
ABR 4 1/4,0,-1
BEP B070N,1,0
ABR 40-60,2,0
ABR 5/16,0,-1
ABR 5/8,70,0
CIP 1677497,3,0
ABR 1677497,7,0
SC-3090,2,0
CIP 813938,4,0
ABR 813938,0,-1
ABR 813939,0,-1
ABR 813941,0,-3
BEP B069G,1,0
BEP B069,1,0
FAB TB2062,0,-5
SC 1387136,0,-2
CIP 324688,3,0
FAL 30695,0,-1
ABR 324688,0,-1
CIP 324689,1,0
FAL 30700,5,0
ABR 324689,0,-1
SC 1344864,0,-4
CIP 318541,0,-4
ABR 318541,4,0
MB-6946,3,0
CR-92,0,-1
SC 134713,0,-2
ABR 475499,1,0
HEL 90-110,0,-1
FAL 31302,0,-1
ABR 796363,0,-5
ABR 1675932,1,0
ABR 1466082,0,-7
ABR 1439825,1,0
MB-3645,0,-1
SAM 041301,2,0
SC 1391051,0,-7
PRIO 1445398,4,0
MB-4357,0,-1
SC 1490269,0,-1
BOE 06132,3,0
BEP B070Q,1,0
ABR 308782,1,0
CIP 308782,0,-1
SC 1364290,0,-1
PRIO 1364290,1,0
CIP 273792,0,-1
MB-3737,0,-15
PRIO 6909957010,32,0
ABR 384.995.7010,14,0
FAL 07038,0,-1
MB-052,0,-3
PRIO 6959957010,0,-25
FAL 100279,10,0
FAL 13664,0,-1
FAL 100296,0,-9
ABR 308275,1,0
SC-4225,0,-5
ABR 1307817,0,-1
ACC 296028,0,-2
GRA 155 C,1,0
GRA 156 D,0,-1
GRA 308 E,2,0
GRA 308 D,2,0
SC 1346907,5,0
LUB 85W140,0,-31
AC-1000,0,-221
CIP 1113910,0,-1
CR-050,1,0
LSC-2989,0,-21
TF 41-C,0,-1
FARR AGUA,0,-8
MKT 330,0,-3
MKT 182,0,-36
AMA 446,0,-1
ALE 10 C45,0,-15
ALE 10 C90,0,-9
ALE 6 C,13,0
SC-2118,1,0
ALE 8 C45,8,0
ALE 8 C90,0,-14
ALE 8 R,15,0
SC-2401,21,0
GR-02907,0,-9
GR-02908,0,-13
GR-0390,0,-10
ER-1906,0,-20
SC-4442,1,0
KYB 333209,0,-1
KYB 333210,0,-1
KYB 341191,0,-2
FERV 06-1620,0,-1
AMO 1675201.O,0,-2
SC 1952540,2,0
AMO 1675201,0,-2
COF B.47479..Y,13,0
SC 1435859,0,-2
GLO 840S,1,0
SAC 290988,1,0
SC 1363122,1,0
ST-002,0,-1
SC 1382827,0,-1
SUS ST091,7,0
SC 1466185X,0,-3
COF B.47585..Y,5,0
FCS-SC056,0,-3
SAM 040091,0,-1
FEB 09967,1,0
FCS-SC055,0,-2
KOM 48520,1,0
KOM 48510,0,-1
KOM 335016,0,-1
NAK AP-25001,1,0
COF L.12657..Y,4,0
COF L.12918..Y,0,-1
MB-5344,0,-20
NAK CT-32593,1,0
COF L.12757..Y,0,-1
COF 45033..Y,1,0
SAC 10401/6,0,-1
COF 45077..Y,1,0
SAC 10469/6,2,0
COF 45156..Y,0,-2
COF 45155..Y,0,-1
COF 45119..Y,3,0
COF 45063..Y,9,0
COF B.47498..Y,1,0
DIE 1374642,0,-1
KOM 333377,1,0
KOM 333378,0,-2
KOM 341251,6,0
KOM 343292,0,-1
NAK AC-30728,1,0
COF 45003..Y,1,0
COF 45123..Y,3,0
SAC 10460/6,0,-1
SAC 10402/6,1,0
COF 45006..Y,2,0
COF 45120..Y,3,0
COF 45093..Y,1,0
SC 361526,0,-4
SC-1383,0,-2
BD 2-0103,0,-22
ROC 010800-6,1,0
ROC 010814-6,1,0
ROC 010400-001,0,-1
ROC 010408-601,0,-1
GLO GP-1103,5,0
GLO GP-1113,0,-5
MIL 634.704,1,0
MIL 635.210,0,-1
MB-4026,0,-2
ROC 010026-9,0,-1
MIL 635.230,0,-1
FAL 08603,0,-1
CIP 811031,0,-2
ROC 011068-0,0,-1
FAL 31392,0,-6
CIP 1309563,7,0
FAL 30127,0,-2
SC-1114,2,0
SC-1806,31,0
SC-2058,0,-20
ANI 1328995,0,-3
FAL 100202,0,-2
ANI 1433063,4,0
CIP 170951,0,-19
PRIO 170951,18,0
SC-2433,0,-2
KS 50.006.610,6,0
KS 50.006.609,6,0
SAB 75120,2,0
SC-4063,0,-1
SC-1044,1,0
CIP 139253,0,-3
CIP 355939,0,-1
FAL 30684,0,-16
SC-1041,5,0
FAL 30519,0,-13
SC-1043,7,0
FAL 30261,7,0
SC 15323,2,0
CIP 15323,0,-3
SC-4059,0,-2
SC-1118,1,0
SC 1376911,0,-1
AME 948255,0,-6
SC-2782,0,-1
ROC 010054-4,0,-1
CIP 1440407,0,-2
SC 1440407,2,0
SC 1373520,0,-2
ZF 1290.395.193,0,-1
ZF 1290.304.143,0,-1
CIP 1114315,0,-2
SC 1114315,0,-3
SC-3584,0,-4
INA F-44075,50,0
SC-2524,0,-5
PRIO 242857,0,-19
SC 1373126,0,-2
SC 1424853,0,-1
SC 1319541,4,0
SC 1319541 ROJO,0,-2
REI R-175,0,-1
FAL 30299,0,-29
SC-259,1,0
SC-4477,0,-8
SC-4478,0,-9
IC 133517600,0,-9
MB-2365,0,-2
SC-2542,0,-1
FAL 09630,0,-2
MB-2745,0,-4
CIP 1368061,2,0
FAL 33558,0,-2
SC-1368061,0,-1
SC 1340615,0,-3
FAL 33888,0,-51
CIP 292847,5,0
SC 292847,0,-5
SC-1279,0,-12
SC-1090,0,-23
SC-1120,0,-13
ROC 011056-6,0,-4
SC-1115,1,0
CIP 1352886,1,0
ANI 1352885,0,-9
SC-5047,0,-1
MB-5957,0,-1
SC-1112,0,-3
SC-1804,2,0
ZF 1307.304.643,0,-1
MB-1248,0,-5
RFI 1A 0404,0,-1
CIN 14.33.0039L,1,0
MB-4676,0,-1
RFI 1A0405,0,-1
RYG 3222620137,1,0
ZF 1290.395.332,0,-1
CIP 804725,0,-2
SC 804725,0,-4
FAL 34131,0,-1
SC 1433886,0,-21
SC-3314,0,-6
SC-4543,0,-22
SC-1942,0,-8
SC-2161,0,-4
MB-6007,8,0
ROC 010560-0,0,-14
SC-2310,0,-7
SC-1798,0,-1
SC-4719,0,-45
REI R-3004,0,-5
REI R-3060,0,-1
REI R-3060A,1,0
FAL 104514,0,-28
MB-2975,0,-25
SC-1795,0,-140
MB-3838,0,-46
MB-3205,0,-8
SC-2279,0,-30
FAL 06074,0,-10
SC-3040,0,-317
FAL 06179,103,0
SC-3048,0,-2
MB-115,3,0
FAL 06212,0,-6
MB 2976,0,-95
MB-2974,63,0
FAL 13685,0,-4
