OTROS,COMP-DESC-OTROS,Tipo de Descuento en Compras
FLETE,COMP-GAST-FL,Tipo de Gasto en Compras
SEGURO,COMP-GAST-SEG,Tipo de Gasto en Compras
OTROS,COMP-GAST-OTR,Tipo de Gasto en Compras
PRORRATEO FLETE,COMP-PROR-FLE,Tipo de Prorrateo en Compras
PRORRATEO SEGURO,COMP-PROR-SEG,Tipo de Prorrateo en Compras
Solo Presupuesto,VTA-SOLO-PRES,Estados de Venta
Pasado a Pedido,VTA-PAS-PED,Estados de Venta
Solo Pedido,VTA-SOLO-PED,Estados de Venta
Pedido Cerrado,VTA-PED-CERR,Estados de Venta
Pedido Facturado,VTA-PED-FACT,Estados de Venta
IVA 10%,10,Tipos de Iva
IVA 5%,5,Tipos de Iva
EXENTA,0,Tipos de Iva
"Muchos destinos, muchos canceladores",DESTINO-MUCHOS,Tipo Alerta
"Un destino, un cancelador",DESTINO-UNO,Tipo Alerta
"Muchos destinos, algun cancelador",DESTINO-COMUN,Tipo Alerta
Alerta informativa,ALER-INFO,Nivel Alerta
Alerta error,ALER-ERROR,Nivel Alerta
EXENTA,REG-EXENTA,Regimen Tributario
NO EXENTA,REG-NO-EXENTA,Regimen Tributario
Local,PROV-TIPO-LOCAL,Tipo Proveedor
Internacional,PROV-TIPO-EXT,Tipo Proveedor
Activo,PROV-EST-ACT,Estado Proveedor
Inactivo,PROV-EST-INAC,Estado Proveedor
No Definido,CLI-TIP-NO-DEF,Tipo Cliente
Mayorista,CLI-TIP-MAY,Tipo Cliente
Minorista,CLI-TIP-MIN,Tipo Cliente
Distribuidor,CLI-TIP-DIST,Tipo Cliente
Ocasional,CLI-TIP-OCAS,Tipo Cliente
Activo,ART-EST-ACT,Articulo Estado
Inactivo,ART-EST-INAC,Articulo Estado
Temporal,ART-EST-TMP,Articulo Estado
UND.,ART-UM-UND,Articulo Unidad de Medida
MTS.,ART-UM-MTS,Articulo Unidad de Medida
LTS.,ART-UM-LTS,Articulo Unidad de Medida
FOB,IMP-FOB,Tipos de Importacion
CIF,IMP-CIF,Tipos de Importacion
C&F,IMP-C&F,Tipos de Importacion
Retencion IVA,FP-TIP-RET,Forma de Pago del Recibo
Deposito Bancario,FP-TIP-DEP-BAN,Forma de Pago del Recibo
Tarjeta de Credito,OP-TIP-TCR,Forma de Pago del Recibo
Tarjeta de Debito,OP-TIP-TDB,Forma de Pago del Recibo
Comprobante Legal,CBT-LEG,Tipos de Comprobantes
Comprobante Interno,CBT-INT,Tipos de Comprobantes
Compras,OPE-COM,Tipos de Operaciones en los Movimientos
Gastos,OPE-GTO,Tipos de Operaciones en los Movimientos
Pagos,OPE-PAG,Tipos de Operaciones en los Movimientos
Ventas,OPE-VEN,Tipos de Operaciones en los Movimientos
Cobros,OPE-COB,Tipos de Operaciones en los Movimientos
Remisiones,OPE-REM,Tipos de Operaciones en los Movimientos
Operacion Bancaria,OPE-BAN,Tipos de Operaciones en los Movimientos
