Empresa,Yhaguy,
,,
ID,BARCODE
8817,7894166172335
12298,7894166149313
13689,7894166149214
16712,7894166145902
11833,7894166140853
713,7894166136092
11603,7894166134302
11602,7894166134289
706,7894166119385
11605,7894166111990
13460,7894166111983
11606,7894166111969
12530,7894166111914
11834,7894166111907
11604,7894166111891
13461,7894166111884
714,7894166111792
14865,7894166111778
16708,7894166111617
12529,7894166099984
14868,7894166099960
708,7894166099939
12531,7894166094286
12299,7894166094279
12998,7894166094262
13229,7894166094255
712,7894166094163
711,7894166094033
703,7894166093876
702,7894166093296
705,7894166092725
16713,7894166089251
233,7894166086960
8353,7894166076435
14860,7894166073861
707,7894166073762
710,7894166073755
923,7894166073748
3025,7894166073021
390,7894166070747
3023,7894166070068
13926,7894166069253
709,7894166069239
3021,7894166069161
3020,7894166067525
3024,7894166067440
3019,7894166067433
14861,7894166065118
14863,7894166065064
14864,7894166065057
3488,7894166064890
9515,7894166062308
11601,7894166062179
2788,7894166050527
9516,7894166050084
12999,7894166050060
5106,7894166049842
5105,7894166049835
5344,7894166049767
5343,7894166049682
3017,7894166049286
3484,7894166049231
4181,7894166049163
9747,7894166049118
13457,7894166048579
2321,7894166048463
3715,7894166047831
4882,7894166046186
14157,7894166045707
5806,7894166045561
5345,7894166045134
704,7894166044502
14854,7894166044281
2090,7894166044274
2089,7894166044267
6064,7894166044038
14856,7894166041990
14857,7894166041983
14858,7894166041976
3490,7894166041938
698,7894166037832
701,7894166037818
700,7894166037801
697,7894166037764
3716,7894166037115
9524,7894166037016
9522,7894166037009
9523,7894166036996
9519,7894166036989
9521,7894166036958
9520,7894166036941
9518,7894166036897
4883,7894166035777
6497,7894166035647
2785,7894166035388
14392,7894166035319
1857,7894166034602
13464,7894166034046
5346,7894166034008
4879,7894166033988
7218,7894166033292
3486,7894166032813
2555,7894166032530
7235,7894166032431
7234,7894166032417
8820,7894166032165
3489,7894166032158
16709,7894166031793
5337,7894166030512
12994,7894166029929
12995,7894166029851
9282,7894166029769
7227,7894166029622
7226,7894166029615
13458,7894166029417
13459,7894166029400
7198,7894166029233
