Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
NUCLEO SA,148680,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,270000,270000,63018
NUCLEO SA,148681,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,180000,180000,63018
NUCLEO SA,148682,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,180000,180000,63018
NUCLEO SA,148683,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,180000,180000,63018
NUCLEO SA,148693,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,605000,605000,63018
NUCLEO SA,148694,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,520000,520000,63018
NUCLEO SA,148695,Gastos Credito,05/22/2017 00:00:00,06/21/2017 00:00:00,520000,520000,63018
NUCLEO SA,148865,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148866,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148868,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148869,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148870,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148871,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148872,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148875,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148876,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148878,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148880,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148881,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,80001,80001,63018
NUCLEO SA,148882,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148883,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148884,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148885,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148886,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148887,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148888,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148889,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148890,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148891,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148893,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148894,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148895,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148896,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148897,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148898,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148899,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148900,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148902,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148903,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148904,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148905,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148907,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148908,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,70001,70001,63018
NUCLEO SA,148938,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,90000,90000,63018
NUCLEO SA,148941,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,90000,90000,63018
NUCLEO SA,148947,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,90000,90000,63018
NUCLEO SA,148984,Gastos Credito,05/23/2017 00:00:00,06/22/2017 00:00:00,570000,570000,63018
NUCLEO SA,150413,Gastos Credito,05/25/2017 00:00:00,06/24/2017 00:00:00,30000,30000,63018
NUCLEO SA,155968,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,135000,135000,63018
NUCLEO SA,155969,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,135000,135000,63018
NUCLEO SA,155970,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,135000,135000,63018
NUCLEO SA,155971,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,30000,30000,63018
NUCLEO SA,155972,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,30000,30000,63018
NUCLEO SA,155973,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,270000,270000,63018
NUCLEO SA,155974,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,135000,135000,63018
NUCLEO SA,155975,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,135000,135000,63018
NUCLEO SA,155976,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,270000,270000,63018
NUCLEO SA,155977,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,27500,27500,63018
NUCLEO SA,155978,Gastos Credito,05/31/2017 00:00:00,06/30/2017 00:00:00,270000,270000,63018
NUCLEO SA,170894,Gastos Credito,06/15/2017 00:00:00,07/15/2017 00:00:00,128500,128500,63018
NUCLEO SA,230789,Gastos Credito,08/31/2017 00:00:00,09/30/2017 00:00:00,691999,691999,63018
NUCLEO SA,266484,Gastos Credito,11/14/2017 00:00:00,12/14/2017 00:00:00,127700,127700,63018
NUCLEO SA,1683153,Gastos Credito,08/28/2018 00:00:00,09/27/2018 00:00:00,12816280,12816280,63018
NUCLEO SA,1735462,Gastos Credito,06/28/2017 00:00:00,07/28/2017 00:00:00,395000,395000,63018
NUCLEO SA,1894279,Gastos Credito,09/28/2018 00:00:00,10/28/2018 00:00:00,14339700,14339700,63018
