Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,GRUPO,MARCA,APLICACION,MODELO,LINEA,PESO,VOLUMEN
SPA 0750341OC,CALZADO TEAMWORK SPORT H S3 CUERO OCRE 40,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750342OC,CALZADO TEAMWORK SPORT H S3 CUERO OCRE 42,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750343OC,CALZADO TEAMWORK SPORT H S3 CUERO OCRE 43,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750345OC,CALZADO TEAMWORK SPORT H S3 CUERO OCRE 45,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750343NR,CALZADO TEAMWORK SPORT H S3 CUERO NEGRO 43,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750345NR,CALZADO TEAMWORK SPORT H S3 CUERO NEGRO 45,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750244OC,CALZADO TEAMWORK RACING H S3 VELCRO OCRE 44,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750142RS,CALZADO TEAMWORK SPORT L S1P GAMUZA ROJO 42,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750143GR,CALZADO TEAMWORK SPORT L S1P GAMUZA GRIS 43,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750243NR,CALZADO TEAMWORK RACING H S3 VELCRO NEGRO 43,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
SPA 0750142MA,CALZADO TEAMWORK SPORT L S1P GAMUZA MARRON 42,RETAIL SHOP,Sin Grupo,SPARCO,Sin Color,VARIOS,OTROS,0,0
