Empresa,Yhaguy,
,,
CODIGOINTERNO,LISTA,
AMA 6077 E,245300,
AMA 6083 D,286800,
AMA 6083 E,286800,
AMA 6084 D,40200,
AMA 6084 E,40200,
AMA 6085,54400,
AMA 6086,54400,
AMA 6087,283100,
AMA 6088,299800,
AMA 609,359500,
AMA 6091 D,393400,
AMA 6091 E,209900,
AMA 6097 D,173400,
AMA 6097 E,119900,
AMA 6098 D,61600,
AMA 6098 E,61600,
AMA 6101 D,42900,
AMA 6101 E,42900,
AMA 6112 D,323100,
AMA 6112 E,323100,
AMA 6115 D,68500,
AMA 6115 E,68500,
AMA 6118,325000,
AMA 6122 D,261800,
AMA 6122 E,261800,
AMA 6125 D,47200,
AMA 6125 E,47200,
AMA 6127 D,142800,
AMA 6127 E,142800,
AMA 6128,1883000,
AMA 6147 D,908400,
AMA 6147 I,908400,
AMA 630 D,42500,
AMA 630 E,43900,
AMA 635,486700,
AMA 643,124500,
AMA 657,53900,
AMA 665,429300,
AMA 683,47200,
AMA 692,32700,
AMA 694 D,603600,
AMA 7010,265300,
AMA 7013,86700,
AMA 7014,83100,
AMA 7015,270000,
AMA 702,129000,
AMA 708 D,47300,
AMA 708 E,47200,
AMA 710 D,287200,
AMA 710 E,337300,
AMA 711 D,165500,
AMA 711 E,188300,
AMA 717 D,1239200,
AMA 717 E,1209500,
AMA 728 E,400000,
AMA 729 D,400000,
AMA 751 D,53200,
AMA 751 E,76100,
AMA 763,26600,
AMA 768 D,32400,
AMA 768 E,32400,
AMA 779 D,100900,
AMA 779 E,150300,
AMA 792,228400,
AMA 8135,226700,
AMA 814,10400,
AMA 815,11500,
AMA 820,104900,
AMA 823,119200,
AMA 828,165500,
AMA 842,32000,
AMA 865,355600,
AMA 877,51200,
AMA 8804,754300,
AMA 8805,385600,
AMA 886,64300,
AMA 895 D,279500,
AMA 895 E,279900,
AMA 9011,23900,
AMA 9026,136400,
AMA 9030,132400,
AMA 9064,183300,
AMA 9086,231000,
AMA 9168,40500,
AMA 920,36800,
AMA 9204,323900,
AMA 921 E,30100,
AMA 923,87800,
AMA 924,195600,
AMA 925 E,318300,
AMA 926,228800,
AMA 927 D,259900,
AMA 928,86200,
AMA 929,446300,
AMA 933,10500,
AMA 955,110800,
AMA 956,155500,
AMA 968,33700,
AMA 977,1194800,
AMA 978,1420200,
AMA 980,868500,
AMA 981,2203000,
AMA 982,365600,
AMA 986,436700,
AME 1428940,114400,
AME 276029,26300,
AME 332613,21000,
AME 389914,16800,
AME 470247,60600,
AME 6885994,812400,
AME 8124203,65000,
AME 948255,3400,
AMER 1371788,261700,
AMO 1675201,341700,
AMO 1675201.O,1176900,
ANI 1328995,11000,
ANI 1349497,13500,
ANI 1352885,3900,
ANI 1352886,4300,
ANI 1433063,9800,
AP 6889606,284300,
AP-071,0,
AR-382,275000,
ARA 315554,567300,
ARA 53111,0,
ARA-001,0,
ARB 32216,150000,
ARB 32218,211100,
ARB 32307,55100,
ARB 33208,64900,
ARB 518445,350000,
ARB 805262,554200,
