Empresa,Yhaguy,
,,
CODIGOINTERNO,LISTA,
DAY 13A0650C-U,15600,
DAY 13A0660C-U,10300,
DAY 13A0675C-U,10400,
DAY 13A0685C-U,15100,
DAY 13A0710C-U,15700,
DAY 13A0725C-U,15600,
DAY 13A0735C-U,21400,
DAY 13A0750C-U,22000,
DAY 13A0775C-DU,23400,
DAY 13A0780C-U,12100,
DAY 13A0795C-U,12600,
DAY 13A0800C-U,24000,
DAY 13A0805C-DU,12700,
DAY 13A0815C-U,24200,
DAY 13A0825C-U,17500,
DAY 13A0840C-DU,24500,
DAY 13A0850C-DU,27300,
DAY 13A0855C-U,17900,
DAY 13A0865C-DU,27900,
DAY 13A0870C-U,13700,
DAY 13A0875C-DU,18300,
DAY 13A0885C-U,12800,
DAY 13A0890C-U,13800,
DAY 13A0895C-DU,13900,
DAY 13A0900C-U,30000,
DAY 13A0915C-DU,19200,
DAY 13A0925C,14200,
DAY 13A0940C-U,14300,
DAY 13A0945C-U,14500,
DAY 13A0950C-DU,19900,
DAY 13A0960C-U,20000,
DAY 13A0965C-U,13600,
DAY 13A0975C,31200,
DAY 13A0980C,27400,
DAY 13A0990C-U,13900,
DAY 13A1000C-U,32000,
DAY 13A1005C-DU,32400,
DAY 13A1010C-DU,18900,
DAY 13A1015C-DU,32800,
DAY 13A1020C/2-U,16100,
DAY 13A1025C,33600,
DAY 13A1030C-U,33800,
DAY 13A1040C-DU,15500,
DAY 13A1045C-U,14500,
DAY 13A1050C-DU,34400,
DAY 13A1055C-U,22500,
DAY 13A1060C-U,14700,
DAY 13A1065C-U,34700,
DAY 13A1075C-DU,35000,
DAY 13A1080C-U,21500,
DAY 13A1085C-U,16100,
DAY 13A1090C-U,16200,
DAY 13A1100C-U,28700,
DAY 13A1115C-U,23500,
DAY 13A1120C-U,22800,
DAY 13A1125C-DU,22800,
DAY 13A1130C-U,29500,
DAY 13A1135C-U,21800,
DAY 13A1145C-U,22600,
DAY 13A1150C-DU,24400,
DAY 13A1150CPLB-U,55000,
DAY 13A1155C-U,24600,
DAY 13A1160C-U,17000,
DAY 13A1170C-DU,37800,
DAY 13A1175C,38000,
DAY 13A1180C-DU,30500,
DAY 13A1195C-DU,17000,
DAY 13A1200C-U,25400,
DAY 13A1205C-DU,17700,
DAY 13A1220C-U,17700,
DAY 13A1230C-U,25700,
DAY 13A1245C-U,39600,
DAY 13A1250C-U,44700,
DAY 13A1270C,18200,
DAY 13A1275C,18200,
DAY 13A1280C-U,45800,
DAY 13A1285C-U,17200,
DAY 13A1295C-U,26600,
DAY 13A1300C,18700,
DAY 13A1310C-U,47000,
DAY 13A1320C-U,18500,
DAY 13A1325C,19000,
DAY 13A1335C-U,18900,
DAY 13A1345C-U,19200,
DAY 13A1350C,19100,
DAY 13A1365C-U,25500,
DAY 13A1370C-U,33000,
DAY 13A1375C,19500,
DAY 13A1400C-U,28300,
DAY 13A1420C-U,18600,
DAY 13A1425C-U,20700,
DAY 13A1435C-U,20300,
DAY 13A1450C,22400,
DAY 13A1475C,20600,
DAY 13A1485C-U,19300,
DAY 13A1500C,20900,
DAY 13A1515C-U,21000,
DAY 13A1525C-U,21200,
DAY 13A1550C,21600,
DAY 13A1560C-U,21600,
DAY 13A1575C,21900,
DAY 13A1585C-U,51400,
DAY 13A1595C-U,21400,
DAY 13A1600C,35600,
DAY 13A1615C-U,22200,
DAY 13A1625C-U,22400,
DAY 13A1640C-U,35800,
DAY 13A1665C-U,22800,
DAY 13A1700C-U,23300,
DAY 13A1715C-U,21800,
DAY 13A1725C-U,53300,
DAY 13A1750C-U,53400,
DAY 13A1775C-U,24100,
DAY 13A1780C-U,24200,
DAY 13A1800C,23800,
DAY 13A1815C-U,24600,
DAY 13A1825C-U,51800,
DAY 13A1855C-U,23300,
DAY 13A1875C-U,54500,
DAY 13A1890C-U,25500,
DAY 13A1900C-U,23900,
DAY 13A1920C-U,25800,
DAY 13A1955C-U,26200,
DAY 141RHX250HT-U,336600,
DAY 141RHX300H-U,93600,
DAY 141RP+254H-U,112400,
DAY 150STP230H-U,94400,
DAY 163RHX254,43300,
DAY 163RP254H-U,124200,
DAY 177RP254H-U,101900,
DAY 17A1105C-U,27000,
DAY 17A1130C-U,27500,
DAY 3PK0668-U,11900,
DAY 3PK0675-U,14400,
DAY 3PK0682-U,14600,
DAY 3PK0715,21200,
DAY 3PK0740-U,18400,
DAY 3PK0780-U,13800,
DAY 3PK0850,16700,
DAY 3PK0905-U,24900,
DAY 3PK760,12900,
DAY 3PK815,25200,
DAY 4PK0550-U,25300,
DAY 4PK0610-U,18000,
DAY 4PK0630,26000,
DAY 4PK0665-U,18900,
DAY 4PK0673-U,19200,
DAY 4PK0698-U,19700,
DAY 4PK0700-U,29000,
DAY 4PK0750-U,21600,
DAY 4PK0775-U,31300,
DAY 4PK0800-U,32200,
DAY 4PK0810-U,32400,
DAY 4PK0815,22700,
DAY 4PK0825-U,20800,
DAY 4PK0830-U,32900,
DAY 4PK0840-U,25100,
DAY 4PK0845-U,33200,
DAY 4PK0850-U,33300,
DAY 4PK0855-U,26100,
DAY 4PK0875-U,21900,
DAY 4PK0900-U,33600,
DAY 4PK0915-U,24000,
DAY 4PK0926-U,20300,
DAY 4PK0938-U,31400,
DAY 4PK0940-U,21000,
DAY 4PK0955-U,35400,
DAY 4PK0960-U,24900,
DAY 4PK0975-U,36000,
DAY 4PK0980-U,25200,
DAY 4PK0990-U,36500,
DAY 4PK1000-U,21100,
DAY 4PK1025-U,25700,
DAY 4PK1040,22300,
DAY 4PK1065,26100,
DAY 4PK1120-U,26900,
DAY 4PK1130-U,26900,
DAY 4PK1146-U,27100,
DAY 4PK1180-U,39300,
DAY 4PK1185,39800,
DAY 4PK1230-U,39600,
DAY 5PK0850-U,27300,
DAY 5PK0875-U,27900,
DAY 5PK0900-U,28200,
DAY 5PK0915-U,28400,
DAY 5PK0938-U,28900,
DAY 5PK0955-U,29500,
DAY 5PK0962-U,29700,
DAY 5PK0975-U,30000,
DAY 5PK1015-U,26500,
DAY 5PK1030-U,28200,
DAY 5PK1050-U,31000,
DAY 5PK1065-U,31100,
DAY 5PK1080-U,31300,
DAY 5PK1090-U,31400,
DAY 5PK1100-U,41500,
DAY 5PK1115-U,29700,
DAY 5PK1125-U,32500,
DAY 5PK1165-U,29600,
DAY 5PK1170-U,47600,
DAY 5PK1190-U,44500,
DAY 5PK1195-U,47800,
DAY 5PK1215-U,33800,
DAY 5PK1250-U,34500,
DAY 5PK1270-U,49200,
DAY 5PK1740-U,42600,
DAY 5PK1795-U,61000,
DAY 5PK1815-U,62000,
DAY 6PK0756-U,26200,
DAY 6PK0870-U,28900,
DAY 6PK0894-U,29600,
DAY 6PK0900-U,27700,
DAY 6PK0915-U,27500,
DAY 6PK1025-U,30000,
DAY 6PK1050-U,46300,
DAY 6PK1065-U,34000,
DAY 6PK1070-U,31600,
DAY 6PK1090-U,37700,
DAY 6PK1100-U,31700,
DAY 6PK1105-U,55400,
DAY 6PK1110-U,34900,
DAY 6PK1115,56000,
DAY 6PK1125-U,32900,
DAY 6PK1152-U,39500,
DAY 6PK1180-U,36700,
DAY 6PK1195-U,37000,
DAY 6PK1230-U,34600,
DAY 6PK1375-U,38700,
DAY 6PK1415-U,45000,
DAY 6PK1550-U,65000,
DAY 6PK1600-U,65200,
DAY 6PK1640-U,44800,
DAY 6PK1675-U,50800,
DAY 6PK1700-U,51100,
DAY 6PK1725-U,51800,
DAY 6PK1740-U,50500,
DAY 6PK1795-U,53600,
DAY 6PK1855-U,55400,
DAY 6PK1885-U,79800,
DAY 6PK1900-U,54500,
DAY 6PK1920-U,55000,
DAY 6PK1975-U,51500,
DAY 6PK2050-U,75500,
DAY 6PK2120-U,60000,
DAY 6PK2145-U,55400,
DAY 6PK2210-U,86700,
DAY 6PK2240-U,62800,
DAY 6PK2270-U,63700,
DAY 6PK2325-U,64000,
DAY 6PK2345-U,59900,
DAY 6PK2390,60500,
DAY 6PK2460-U,68400,
DAY 7PK1140-U,80000,
DAY 7PK1515-U,56300,
DAY 7PK1530-U,55600,
DAY 7PK1545-U,57900,
DAY 7PK2285-U,75800,
DAY 89410,336400,
DAY 8PK0950-U,46100,
DAY 8PK1055-U,42100,
DAY 8PK1220-U,49300,
DAY 8PK1230-U,46500,
DAY 8PK1290-U,74000,
DAY 8PK1370-U,85900,
DAY 8PK1385-U,86000,
DAY 8PK1400-U,88000,
DAY 8PK1420-U,58500,
DAY 8PK1443-U,61300,
DAY 8PK1475-U,62500,
DAY 8PK1485-U,79100,
DAY 8PK1500-U,62800,
DAY 8PK1510-U,96700,
DAY 8PK1525-U,100000,
DAY 8PK1535-U,65400,
DAY 8PK1550-U,72000,
DAY 8PK1575-U,70400,
DAY 8PK1590-U,91000,
DAY 8PK1600-U,66000,
DAY 8PK1615-U,68800,
DAY 8PK1625-U,62500,
DAY 8PK1660-U,68500,
DAY 8PK1700-U,103500,
DAY 8PK1750-U,112700,
DAY 8PK1780-U,76300,
DAY 8PK1800-U,120000,
DAY 8PK1815,72100,
DAY 8PK1980-U,169400,
DAY 8PK1995-U,89700,
DAY 8PK2080-U,129400,
DAY 8PK2110-U,95700,
DAY 8PK2120-U,142000,
DAY 9PK2295-U,101200,
DAY APV2420,99800,
DAY APV2715,213300,
DAY APV2717,215800,
DAY APV2855,211900,
DAY ATB2178,59800,
DAY ATB2201,92100,
DAY ATB2216,136300,
DAY DY-FI043,92300,
DAY DY-FI052,124600,
DAY DY-FI053,95800,
DAY DY-FI055,156200,
DAY DY-FI056,134800,
DAY DY-FI060,89400,
DAY DY-FI062,54700,
DAY DY-GM061,86100,
DAY DY-GM081,150100,
DAY DYV604,175500,
DAY KTB135,54300,
DAY KTB147/2,71100,
DAY KTB147/3,56000,
DAY KTB147/4,54700,
DAY KTB201,84800,
DAY KTB204,138600,
DAY KTB221,176700,
DAY KTB255,247600,
DAY KTB466,104500,
DAY KTB566,417900,
DEL 10515810,602300,
DEL 10515814,150000,
DEL 19025504,669200,
DEL 19025521,669200,
DELP RC 600.020,2327500,
DES 001,0,
DIE 1.18505,1000000,
DIE 1.21151,263300,
DIE 1.21546,203600,
DIE 1.22132,220000,
DIE 1.31014,158700,
DIE 10020,83400,
DIE 1116848/9,216700,
DIE 114376,1225200,
DIE 1314278,0,
DIE 1319557,307300,
DIE 1324713,317700,
DIE 1343373,28200,
DIE 1364636,315400,
DIE 1369053,214100,
DIE 1370031,1307200,
DIE 1374642,126000,
DIE 1380814,1800000,
DIE 139110,45300,
DIE 1392708,0,
DIE 1397523,1619700,
DIE 1402272,778700,
DIE 1402273,736900,
DIE 1409890,28000,
DIE 1411129,183900,
DIE 1420197,211300,
DIE 1427793,0,
DIE 1430545,428400,
DIE 1433654,294700,
DIE 1457710,1365000,
DIE 1488071,285000,
DIE 1488083,624000,
DIE 1517324,3666700,
DIE 1518142,3816300,
DIE 1529950,748700,
DIE 1534976,1273400,
DIE 1539298,1574700,
DIE 1741091,413400,
DIE 1756447,777500,
DIE 1888034,2781000,
DIE 2.12286,1450000,
DIE 2132266,7133400,
DIE 290950,161700,
DIE 314876,285100,
DIE 315554,300000,
DIE 33352,18900,
DIE 355708,150700,
DIE 358404,36000,
DIE 372778,330000,
DIE 394443,2133400,
DIE 550284,1192400,
DIE 6215,500000,
DIE-06,0,
DIEX-0001,0,
DIP E-4016,122500,
DNI 0860,126100,
DNI 0870,47500,
DNI 0871,75000,
DNI 8005,283400,
DNI 8007,283400,
DNI 8860,372700,
DNI-4001,46700,
DNI-4002,52300,
DOB 31580,2231700,
DPH 95825,119500,
DRI 1461R,409200,
DRI 1462L,316100,
DRI PD-2380,223700,
DRI PD-3710,227100,
DRI PD-3711,161600,
DRI PD-3990,76700,
DRI PD-4317,109300,
DUR 1227,958400,
DUR 1237,641700,
DUR 1526,988000,
DUR 31580R22.5,1741700,
DUR 31580R22.5 LISA,1695900,
DUR 80-20,630600,
DUR 88.45.005,883400,
DUR 88.45.010,373400,
DUR 88.45.015,559500,
DUR 88.45.020,450000,
DUR 988 STD,33700,
DUR CA32 XX,32800,
DUR DC-332 STD,29200,
DUR DC-332 X,30900,
DUR DS726,31300,
E106,0,
EAG LA1199E YL,28400,
EAT 128804,2083400,
EAT 25581,376700,
EAT 25821,341700,
EAT 2689,280000,
EAT 3001990,125000,
EAT 31594,525000,
EAT 3341030,31400,
EAT 3341109,975000,
EAT 3341206,10000,
EAT 3343752,150000,
EAT 3344328,308400,
EAT 3344415,1050000,
EAT 3344537,41700,
EAT 3344538,93400,
EAT 3344752,83400,
EAT 3344768,513400,
EAT 3344778,925000,
EAT 3344861,16700,
EAT 4300121,83400,
EAT 4301477,950000,
EAT 4301485,2575000,
EAT 5614,67300,
EAT 5615,77800,
EAT A6137,1958400,
EAT VS 1177,41200,
EAT VS 1178,40700,
EAT VS 1814,40800,
EAT VS 2535,39400,
EAT VS 2587,23400,
EAT VS 2770,53400,
EAT VS 4905-8,83100,
EAT VS 4936-8,117200,
EAT VS 5166,116700,
EAT VS 5166-4,82500,
EAT VS-5609,67900,
EAT VS-5610,90400,
EAT VS5613,108400,
ECK 92662,814300,
ECK-00950,578800,
ECK-00951,517900,
ECK-14929,394500,
ECK-54554,271600,
ECK-54574,117500,
ECO 1169,394500,
ED-2077,0,
EDA 1860,12400,
EDN 0606,14800,
EDN ED-2032,0,
EDR ME1241,51200,
EDR ME1279,42900,
EDR ME1530,44900,
EDR ME178,21500,
EDR ME577,190800,
EDR ME588,29500,
EDR ME735,52300,
EDR ME737,56700,
EDR ME818,33200,
EDR ME819,30300,
EDR ME822,25900,
EDR ME835,6400,
EDR ME855,22500,
EDR ME865,171400,
EDR ME867,171400,
EFC 027,148400,
ELI 317,1333400,
ELI316,1466700,
EM 56880,1416700,
ENG 09503,55000,
ENG 17584,158400,
ENG 194399,1516700,
ENG 194429,38400,
ENG 20054,1416700,
ENG 264225,94200,
ENG 264310,950000,
ENG 278736,193500,
ENG 400356,351000,
ENG 401340,0,
ENG 405743,126900,
ENG 405843,0,
ENG 797,50600,
ENG ET-20041,1163400,
ENG ET-20216,0,
ENG ET-2056,341700,
ENG ET20003,301600,
ENG ET20023,575000,
ENG ET20028,433400,
ENG ET20031,0,
ENG ET20037,291800,
ENG ET20092,3166700,
ENG ET20202,1003000,
ENG ET20209,720000,
ENG ET20215,743400,
ENG ET20216,557700,
ENG ET20226,566700,
ENG ET20231,250000,
ENG ET20232,396700,
ENG ET20233,333400,
ENG ET20253,5257800,
ER-1906,0,
ESP 12M,3100,
ESP 1952573,3892900,
ESP 4M,49900,
ESP DNI-5040,56500,
ESP ESPAGUETI 14M,3700,
ESP ESPAGUETI 16M,4300,
ET-20.037,0,
ET-20203,0,
ET-20208,0,
ET-20252,3191700,
ETE 7063VE,16700,
ETE 7119,32100,
ETE 7599,233400,
ETE-7518,100,
ETE-7565,400,
ETG 01.01.09.102709,0,
EUR 60.53.0012,396700,
EUR 60.53.0029,258400,
EUR 60.53.0148,108400,
EUR 60530175,369000,
EUR 74.17.0003,291300,
EUR 74.17.0207,545900,
EUR 74.17.0384,878000,
EUR 74.17.0569,0,
EUR 74.170.566,293800,
EUR 74.170.568,1491500,
EUR 74.53.0002,1705000,
EUR 74.53.0003,363400,
EUR 74.53.0014,298700,
EUR 74.53.0033,411400,
EUR 74.53.0044,140000,
EUR 74.53.0046,351700,
EUR 74.53.0047,1750000,
EUR 74.53.0052,832200,
EUR 74.53.0053,966700,
EUR 74.53.0058,584000,
EUR 74.53.0094,350000,
EUR 74.53.0099,1030000,
EUR 74.53.0102,406700,
EUR 74.53.0114,428700,
EUR 74.53.0141,1833400,
EUR 74.53.0146,1442700,
EUR 74.53.0181,473400,
EUR 74.53.0184,1010900,
EUR 74.53.0216,2361400,
EUR 74.53.0222,951400,
EUR 74.53.0227,1029600,
EUR 74.53.0253,2966700,
EUR 74.53.0345,958000,
EUR 74.53.0348,1358300,
EUR 74.53.0378,1163500,
EUR 74.53.0399,2301400,
EUR 74.53.0428,6666700,
EUR 74.53.0432,401400,
EUR 74.53.0436,692000,
EUR 74.53.0450,1625400,
EUR 74.53.0452,1633400,
EUR 74.53.0459,4864700,
EUR 74.53.0466,2098200,
EUR 74.53.0467,1696700,
EUR 74.53.0508,193400,
EUR 74.53.0509,1111100,
EUR 74.53.0513,892500,
EUR 74.53.0517,951400,
EUR 74.53.0619,206100,
EUR 74.53.0638,874000,
EUR 74.530.560,1333400,
EUR 74530442,642700,
EUR 95.53.0403,458400,
EUR 95.53.0506,525000,
EUR 95.53.1225,780000,
EUR 95.53.1234,908400,
EUR 95.53.1236,908400,
EUR 95.53.1645,558400,
EUR 95.53.3296,741700,
EUR 95.53.3308,908400,
EUR 98.53.0071,408400,
EUR ER2008,126100,
EUR ER4002,494300,
EUR ER4301,131400,
EUR MP-11093,4250000,
EZ12-12000,613400,
F49-6255,0,
FAB 1790/1,0,
FAB 512392,350000,
FAB ER023,624200,
FAB ER024,923000,
FAB ER1903,159900,
FAB FT062,177300,
FAB FT063,181000,
FAB PP1003B,98500,
FAB PP1004B,98500,
FAB RP007,160400,
FAB RP009,34100,
FAB RP016B,366700,
FAB RP034,501700,
FAB RP044,293600,
FAB TB1058,372300,
FAB TB2062,71100,
FAB TM1002,382200,
FAB TM1004C,148800,
FAB TM1021F,256600,
FAD 8055A,1083400,
FAG 1/2K GRASA,33600,
FAG 200216 DD,197400,
FAG 218248/10,489600,
FAG 30205A,55200,
FAG 30207A,66200,
FAG 30220A,2282200,
FAG 30306,116300,
FAG 30308,156000,
FAG 30312,298400,
FAG 31313A,285400,
FAG 32015X,330200,
FAG 32018XA,367800,
FAG 32020,384200,
FAG 32022,625900,
FAG 32208A,79800,
FAG 32210A,82400,
FAG 32213,225700,
FAG 32216,300700,
FAG 32218A,281700,
FAG 32219,757900,
FAG 32306,175400,
FAG 32307A,133700,
FAG 32308,142900,
FAG 32309A,195000,
FAG 32310,300700,
FAG 32311,399200,
FAG 32312,470600,
FAG 32314,467800,
FAG 32315B,1860600,
FAG 33011,268700,
FAG 33017,1060000,
FAG 33018,433400,
FAG 33019,564200,
FAG 33020-CYB,424700,
FAG 33109,190700,
FAG 33111,220600,
FAG 33115,242400,
FAG 33116,570500,
FAG 33117,433400,
FAG 33205,91800,
FAG 33207,418400,
FAG 33208,190700,
FAG 33209,350000,
FAG 33210,242700,
FAG 33213,259400,
FAG 33215,320700,
FAG 3382/20,121400,
FAG 33895/22,216600,
FAG 39590/39520,166400,
FAG 5001376100,315200,
FAG 508204,349500,
FAG 509333,374200,
FAG 510148A,296400,
FAG 510148B,285700,
FAG 511134,528600,
FAG 511482,318500,
FAG 512099,371500,
FAG 512392,243100,
FAG 5157831,107500,
FAG 518713,254700,
FAG 518995,303400,
FAG 521471A,1717600,
FAG 521618,494700,
FAG 522380,197900,
FAG 524379,368700,
FAG 524800,155800,
FAG 530689B,227000,
FAG 530990,922200,
FAG 534565,421200,
FAG 537.532X,364000,
FAG 537166,327500,
FAG 538971,457900,
FAG 540669,488400,
FAG 543562,1400000,
FAG 546485,99200,
FAG 560906,133100,
FAG 562830,316900,
FAG 563147,477200,
FAG 564583,170800,
FAG 566616,594200,
FAG 568980B,538700,
FAG 575725,361600,
FAG 576040,223200,
FAG 580989,688800,
FAG 6004,18000,
FAG 6004.2RSR,27000,
FAG 6005.2ZR,25100,
FAG 6014,131200,
FAG 6014.2RSR,175000,
FAG 6201.2RSR,22700,
FAG 6202,19000,
FAG 6203,23800,
FAG 6204.2RSR,37400,
FAG 6207,65900,
FAG 6212,120800,
FAG 62204 2RSR,199800,
FAG 6303.2RSR,49600,
FAG 6304,83800,
FAG 6305.2RSR,53600,
FAG 6306,61100,
FAG 6306.2RSR,84000,
FAG 6306.2ZR,59800,
FAG 683.672,480300,
FAG 7220690100,1555200,
FAG 7220746100,301400,
FAG 7220854100A1,474200,
FAG 7220856100A1,467200,
FAG 803194A,1457400,
FAG 804002BA,395500,
FAG 804339,422400,
FAG 804355A,262200,
FAG 804358,547700,
FAG 805262,641700,
FAG 805274,110400,
FAG AK47686.47620,216300,
FAG F-571762A.H195,1333400,
FAG K2789.2720,210700,
FAG K3782.3720,175800,
FAG K39580.39520,381100,
FAG K598A.593X,375200,
FAG K663/653,267800,
FAG K78225C.78551,940800,
FAG KHM220149/110,329900,
FAG KHM518445/410,494500,
FAG KJHM522649/60,633600,
FAG KJM716649/10,397400,
FAG KJM720249,272000,
FAG KLM300849/811,103800,
FAG LM11949/910,60900,
FAG NJ309E.TVP2.C3,248000,
FAG NU208,237900,
FAG NU209,200000,
FAG NUP2212E,716800,
FAG NUP304E,344800,
FAG NUP309EJ,2500000,
FAG NUP310EJP3C3,692900,
FAG QJ 212,582300,
FAG QJ208,188800,
FAG QJ209,320600,
FAG QJ309,350000,
FAG T2DD065,232600,
FAG T2ED050,264600,
FAG T2EE040,329400,
FAG WBK0002,60000,
FAG Z-579381,1038200,
FAIR 950321,0,
FAL 000.268.46,533400,
FAL 01380,51200,
FAL 01415,16900,
FAL 01630,12000,
FAL 01730,22200,
FAL 01750,16100,
FAL 03150,20000,
FAL 03508,2800,
FAL 03513,5200,
FAL 05009,8000,
FAL 05012,4600,
FAL 05017,900,
FAL 05045,13100,
FAL 05066,6800,
FAL 05093,845600,
FAL 05094,2500,
FAL 05153,4800,
FAL 05192,2200,
FAL 05226,66200,
FAL 05254,40600,
FAL 05268,4500,
FAL 05294,1400,
FAL 05321,1000,
FAL 05332,1800,
FAL 05350,200,
FAL 05410,6400,
FAL 05450,29400,
FAL 05513,8600,
FAL 05580,8700,
FAL 05650,16400,
FAL 05694,6200,
FAL 05845,11900,
FAL 06019,11400,
FAL 06074,300,
FAL 06115,700,
FAL 06128,16200,
FAL 06179,400,
FAL 06211,196300,
FAL 06212,600,
FAL 06305,500,
FAL 06310,2600,
FAL 06400,3500,
FAL 06410,3600,
FAL 06500,1300,
FAL 06578,3900,
FAL 06910,447500,
FAL 07003,3400,
FAL 07026,5000,
FAL 07038,3700,
FAL 07543,1600,
FAL 07775,6200,
FAL 07990,144000,
FAL 08371,14400,
FAL 08403,1200,
FAL 08570,7000,
FAL 08603,53600,
FAL 08660,91500,
FAL 08670,81100,
FAL 08930,1800,
FAL 09400,1600,
FAL 09600,13200,
FAL 09608,33100,
FAL 09630,700,
FAL 09974,3500,
FAL 09992,6400,
FAL 100021,88000,
FAL 100113,1000,
FAL 100202,4800,
FAL 100279,19500,
FAL 100296,20300,
FAL 100335,5500,
FAL 100348,19800,
FAL 100399,375500,
FAL 100585,1100,
FAL 100626,12600,
FAL 100633,3000,
FAL 100638,19800,
FAL 101012,363000,
FAL 101249,60000,
FAL 101302,89600,
FAL 101389,11000,
FAL 101494,40800,
FAL 101784,83200,
FAL 101997,66400,
FAL 102282,19500,
FAL 102470,447200,
FAL 102558,71500,
FAL 102643,61900,
FAL 102910,19000,
FAL 103305,7900,
FAL 103461,41400,
FAL 103506,23500,
FAL 103517,24000,
FAL 103530,22700,
FAL 103545,22700,
FAL 103739,384800,
FAL 103880,58400,
FAL 103980,33100,
FAL 104159,2700,
FAL 10417,1500,
FAL 104514,600,
FAL 10511,6200,
FAL 10586,80600,
FAL 106000,136800,
FAL 10652,1800,
FAL 106723,23200,
FAL 10697,111000,
FAL 10729,600,
FAL 10765,32300,
FAL 10876,12900,
FAL 10920,2400,
FAL 10939,9300,
FAL 10961,87800,
FAL 11154,1400,
FAL 11208,18400,
FAL 11496,15200,
FAL 11627,130200,
FAL 11683,128300,
FAL 11934,1600,
FAL 11951,1000,
FAL 11962,7200,
FAL 11967,332300,
FAL 12013,3400,
FAL 12143,94200,
FAL 12166,2400,
FAL 12189,10600,
FAL 12236,13200,
FAL 12374,93400,
FAL 12469,41600,
FAL 12515,92300,
FAL 12544,13500,
FAL 12783,14700,
FAL 12981,300,
FAL 12985,300,
FAL 13065,2800,
FAL 13299,148600,
FAL 13451,101100,
FAL 13575,191700,
FAL 13664,4000,
FAL 13685,300,
FAL 13734,45100,
FAL 13744,437900,
FAL 13779,34400,
FAL 14206,247200,
FAL 14226,187800,
FAL 14278,240300,
FAL 14490,44600,
FAL 14782,9000,
FAL 15012,22800,
FAL 15578,1083400,
FAL 15602,22400,
FAL 15605,151800,
FAL 16516,167200,
FAL 16541,148600,
FAL 16637,37400,
FAL 16823,31200,
FAL 16936,16800,
FAL 17274,29600,
FAL 17369,11300,
FAL 17593,19800,
FAL 194373,33500,
FAL 30004,81600,
FAL 30007,3600,
FAL 30017,10400,
FAL 30023,12800,
FAL 30025,49900,
FAL 30072,7300,
FAL 30074,39000,
FAL 30086,11600,
FAL 30094,23800,
FAL 30101,1400,
FAL 30124,2000,
FAL 30127,3800,
FAL 30140,25600,
FAL 30167,1400,
FAL 30184,2800,
FAL 30185,29600,
FAL 30208,2200,
FAL 30214,27500,
FAL 30223,13500,
FAL 30241,21900,
FAL 30257,11600,
FAL 30260,86400,
FAL 30261,8800,
FAL 30262,6700,
FAL 30263,10600,
FAL 30273,10600,
FAL 30280,15600,
FAL 30296,7700,
FAL 30299,800,
FAL 30301,9200,
FAL 30304,8800,
FAL 30369,1900,
FAL 30395,1200,
FAL 30397,1600,
FAL 30403,1400,
FAL 30444,15800,
FAL 30446,27500,
FAL 30475,47800,
FAL 30476,96000,
FAL 30480,11200,
FAL 30489,449400,
FAL 30519,4300,
FAL 30529,13300,
FAL 30535,40300,
FAL 30547,15000,
FAL 30550,15000,
FAL 30591,25400,
FAL 30595,95200,
FAL 30597,232000,
FAL 30619,300,
FAL 30667,3200,
FAL 30668,1400,
FAL 30669,24600,
FAL 30673,1100,
FAL 30684,5300,
FAL 30693,2600,
FAL 30695,3100,
FAL 30700,3100,
FAL 30703,10700,
FAL 30708,10300,
FAL 30716,28300,
FAL 30756,20000,
FAL 30765,10200,
FAL 30766,29900,
FAL 30801,800,
FAL 30811,33100,
FAL 30812,7400,
FAL 30830,24600,
FAL 30832,47000,
FAL 30835,32300,
FAL 30845,73900,
FAL 30895,1100,
FAL 30972,1800,
FAL 30979,2800,
FAL 31014,36600,
FAL 31040,7800,
FAL 31112,15600,
FAL 31127,1600,
FAL 31141,82200,
FAL 31152,2800,
FAL 31169,66400,
FAL 31171,3600,
FAL 31302,5600,
FAL 31351,300,
FAL 31354,1100,
FAL 31370,17100,
FAL 31392,600,
FAL 31403,13800,
FAL 31417,21400,
FAL 31487,36600,
FAL 31653,6100,
FAL 31679,159500,
FAL 31683,159500,
FAL 31751,273900,
FAL 31855,41900,
FAL 31857,68600,
FAL 31859,37900,
FAL 31861,50400,
FAL 31865,41600,
FAL 31873,600,
FAL 31885,16300,
FAL 31915,71000,
FAL 31981,26700,
FAL 31998,15500,
FAL 32020,81100,
FAL 32059,19500,
FAL 32067,221400,
FAL 32070,174700,
FAL 32101,37100,
FAL 32129,11700,
FAL 32320,22700,
FAL 32333,5800,
FAL 32339,75500,
FAL 32353,27200,
FAL 32397,197900,
FAL 32410,82700,
FAL 32442,4000,
FAL 32492,59200,
FAL 32495,10200,
FAL 32566,249100,
FAL 32634,161600,
FAL 32702,32600,
FAL 32735,6400,
FAL 32932,132800,
FAL 32933,77100,
FAL 32960,64600,
FAL 33049,197100,
FAL 33116,5200,
FAL 33169,8100,
FAL 33183,66400,
FAL 33199,32000,
FAL 33204,107800,
FAL 33257,195200,
FAL 33276,82400,
FAL 33327,137400,
FAL 33330,20600,
FAL 33343,88800,
FAL 33348,39000,
FAL 33519,127500,
FAL 33543,222200,
FAL 33558,1400,
FAL 33586,113900,
FAL 33593,213400,
FAL 33727,10600,
FAL 33748,803200,
FAL 33760,800,
FAL 33788,25900,
FAL 33799,82200,
FAL 33814,35800,
FAL 33888,300,
FAL 33913,12000,
