Empresa,Yhaguy,,,,,,
,,,,,,,
RAZONSOCIAL,NRODOCUMENTO,CONCEPTO,EMISION,VENCIMIENTO,IMPORTE,SALDO,IDCUENTA
AUTOPIEZAS CEISA,43396,Compras  CREDITO,08/20/2018 00:00:00,09/19/2018 00:00:00,6000,6000,1416
AUTOPIEZAS CEISA,44294,Compras  CREDITO,09/18/2018 00:00:00,10/18/2018 00:00:00,9000024,9000024,1416
BANCARD SA,67200,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,4915245,4915245,9735
BANCARD SA,101180,Gastos Credito,07/23/2018 00:00:00,08/01/2018 00:00:00,4078357,4078357,9735
BANCARD SA,101182,Gastos Contado,07/23/2018 00:00:00,08/01/2018 00:00:00,126830,126830,9735
BANCARD SA,101179,Gastos Contado,07/23/2018 00:00:00,08/01/2018 00:00:00,691808,691808,9735
BANCARD SA,56810,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,2018779,2018779,9735
BANCARD SA,127788,Gastos Credito,08/23/2018 00:00:00,09/22/2018 00:00:00,4908105,4908105,9735
BANCARD SA,76225,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,2164940,2164940,9735
BANCARD SA,127787,Gastos Credito,08/23/2018 00:00:00,08/24/2018 00:00:00,517127,517127,9735
BANCARD SA,86612,Gastos Contado,08/31/2018 00:00:00,09/30/2018 00:00:00,7020014,7020014,9735
BANCARD SA,127790,Gastos Credito,08/23/2018 00:00:00,08/24/2018 00:00:00,128700,128700,9735
BANCO ATLAS S.A.,126061,Gastos Contado,05/29/2017 00:00:00,05/30/2017 00:00:00,20000,20000,12233
BANCO ATLAS S.A.,218379,Gastos Contado,09/27/2017 00:00:00,09/28/2017 00:00:00,800,800,12233
BANCO ATLAS S.A.,1399617,Prestamos Bancarios,11/02/2017 00:00:00,11/03/2017 00:00:00,138862443,138862443,12233
BANCO ATLAS S.A.,180003,Gastos Contado,07/10/2018 00:00:00,07/11/2018 00:00:00,4324,4324,12233
BANCO ATLAS S.A.,177021,Gastos Contado,07/04/2018 00:00:00,07/05/2018 00:00:00,39282144,39282144,12233
BANCO ATLAS S.A.,177025,Gastos Contado,07/04/2018 00:00:00,07/05/2018 00:00:00,2164975,2164975,12233
BANCO ATLAS S.A.,180123,Gastos Contado,07/10/2018 00:00:00,07/11/2018 00:00:00,2525678,2525678,12233
BANCO ATLAS S.A.,182884,Gastos Contado,07/17/2018 00:00:00,07/18/2018 00:00:00,11330,11330,12233
BANCO ATLAS S.A.,187486,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,6576,6576,12233
BANCO ATLAS S.A.,185851,Gastos Contado,07/26/2018 00:00:00,07/27/2018 00:00:00,2129,2129,12233
BANCO ATLAS S.A.,184610,Gastos Contado,07/23/2018 00:00:00,07/24/2018 00:00:00,3673308,3673308,12233
BANCO ATLAS S.A.,187461,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,3273388,3273388,12233
BANCO ATLAS S.A.,184077,Gastos Contado,07/20/2018 00:00:00,07/21/2018 00:00:00,21180264,21180264,12233
BANCO ATLAS S.A.,214935,Gastos Contado,08/10/2018 00:00:00,08/11/2018 00:00:00,768,768,12233
BANCO ATLAS S.A.,210757,Gastos Contado,08/03/2018 00:00:00,08/04/2018 00:00:00,33248184,33248184,12233
BANCO ATLAS S.A.,221242,Gastos Contado,08/28/2018 00:00:00,08/29/2018 00:00:00,5103,5103,12233
BANCO ATLAS S.A.,221243,Gastos Contado,08/28/2018 00:00:00,08/29/2018 00:00:00,1743,1743,12233
BANCO ATLAS S.A.,210225,Gastos Contado,08/02/2018 00:00:00,08/03/2018 00:00:00,3277359,3277359,12233
BANCO ATLAS S.A.,216321,Gastos Contado,08/14/2018 00:00:00,08/15/2018 00:00:00,5700255,5700255,12233
BANCO ATLAS S.A.,217557,Gastos Contado,08/17/2018 00:00:00,08/18/2018 00:00:00,2993794,2993794,12233
BANCO ATLAS S.A.,218843,Gastos Contado,08/21/2018 00:00:00,08/22/2018 00:00:00,1913251,1913251,12233
BANCO ATLAS S.A.,222070,Gastos Contado,08/30/2018 00:00:00,08/31/2018 00:00:00,6808,6808,12233
BANCO ATLAS S.A.,219200,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,2057,2057,12233
BANCO ATLAS S.A.,219309,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,302382,302382,12233
BANCO ATLAS S.A.,5525,Gastos Contado,09/18/2018 00:00:00,09/19/2018 00:00:00,2001,2001,12233
BANCO ATLAS S.A.,5734,Gastos Contado,09/07/2018 00:00:00,09/08/2018 00:00:00,37277,37277,12233
BANCO BASA S.A,38899,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,700682,700682,66085
BANCO BASA S.A,28475,Gastos Contado,07/16/2018 00:00:00,07/17/2018 00:00:00,61422,61422,66085
BANCO BASA S.A,27103,Gastos Contado,07/05/2018 00:00:00,07/06/2018 00:00:00,24156,24156,66085
BANCO BASA S.A,30250,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,6071355,6071355,66085
BANCO BASA S.A,29244,Gastos Contado,07/23/2018 00:00:00,07/24/2018 00:00:00,38708904,38708904,66085
BANCO BASA S.A,27344,Gastos Contado,07/06/2018 00:00:00,07/07/2018 00:00:00,60671234,60671234,66085
BANCO BASA S.A,52427,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,759000,759000,66085
BANCO BASA S.A,42934,Gastos Contado,08/27/2018 00:00:00,08/28/2018 00:00:00,64965,64965,66085
BANCO BASA S.A,42430,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,49110,49110,66085
BANCO BASA S.A,42428,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,251085,251085,66085
BANCO BASA S.A,40737,Gastos Contado,08/07/2018 00:00:00,08/16/2018 00:00:00,97497,97497,66085
BANCO BASA S.A,42409,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,38543150,38543150,66085
BANCO BASA S.A,40835,Gastos Contado,08/08/2018 00:00:00,08/16/2018 00:00:00,13329503,13329503,66085
BANCO CONTINENTAL SAECA,5699,Gastos Contado,06/27/2017 00:00:00,06/28/2017 00:00:00,4840000,4840000,9672
BANCO CONTINENTAL SAECA,3149913,Gastos Contado,02/07/2018 00:00:00,02/07/2018 00:00:00,827503,827503,9655
BANCO CONTINENTAL SAECA,746333,Gastos Contado,07/05/2018 00:00:00,07/06/2018 00:00:00,145000,145000,9655
BANCO CONTINENTAL SAECA,3577,Gastos Contado,07/09/2018 00:00:00,07/10/2018 00:00:00,58610,58610,9655
BANCO CONTINENTAL SAECA,805732,Gastos Contado,07/17/2018 00:00:00,07/18/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,802173,Gastos Contado,07/16/2018 00:00:00,07/17/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,781352,Gastos Contado,07/11/2018 00:00:00,07/12/2018 00:00:00,410000,410000,9655
BANCO CONTINENTAL SAECA,3857,Gastos Contado,07/13/2018 00:00:00,07/14/2018 00:00:00,30375069,30375069,9655
BANCO CONTINENTAL SAECA,797054,Gastos Contado,07/13/2018 00:00:00,07/14/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,813696,Gastos Contado,07/19/2018 00:00:00,07/20/2018 00:00:00,330000,330000,9655
BANCO CONTINENTAL SAECA,896741,Gastos Contado,07/26/2018 00:00:00,07/27/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,825663,Gastos Contado,07/23/2018 00:00:00,07/24/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,951701,Gastos Contado,07/27/2018 00:00:00,07/28/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,988632,Gastos Contado,07/30/2018 00:00:00,07/31/2018 00:00:00,220000,220000,9655
BANCO CONTINENTAL SAECA,996380,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,4642,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,9395,9395,9655
BANCO CONTINENTAL SAECA,1013074,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,92039,92039,9655
BANCO CONTINENTAL SAECA,1055425,Gastos Contado,08/09/2018 00:00:00,08/10/2018 00:00:00,440000,440000,9655
BANCO CONTINENTAL SAECA,5123,Gastos Contado,08/09/2018 00:00:00,08/10/2018 00:00:00,7294826,7294826,9655
BANCO CONTINENTAL SAECA,4864,Gastos Contado,08/03/2018 00:00:00,08/04/2018 00:00:00,34931328,34931328,9655
BANCO CONTINENTAL SAECA,1050389,Gastos Contado,08/08/2018 00:00:00,08/09/2018 00:00:00,410000,410000,9655
BANCO CONTINENTAL SAECA,1072549,Gastos Contado,08/14/2018 00:00:00,08/15/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,5124,Gastos Contado,08/09/2018 00:00:00,08/10/2018 00:00:00,191861,191861,9655
BANCO CONTINENTAL SAECA,1068611,Gastos Contado,08/13/2018 00:00:00,08/14/2018 00:00:00,330000,330000,9655
BANCO CONTINENTAL SAECA,1092975,Gastos Contado,08/21/2018 00:00:00,08/22/2018 00:00:00,220000,220000,9655
BANCO CONTINENTAL SAECA,5610,Gastos Contado,08/21/2018 00:00:00,08/22/2018 00:00:00,8034889,8034889,9655
BANCO CONTINENTAL SAECA,5611,Gastos Contado,08/21/2018 00:00:00,08/22/2018 00:00:00,88604,88604,9655
BANCO CONTINENTAL SAECA,5664,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,22806165,22806165,9655
BANCO CONTINENTAL SAECA,5679,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,408668,408668,9655
BANCO CONTINENTAL SAECA,1114188,Gastos Contado,08/27/2018 00:00:00,08/28/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,1086723,Gastos Contado,08/20/2018 00:00:00,08/21/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,5592,Gastos Contado,08/21/2018 00:00:00,08/22/2018 00:00:00,188321,188321,9655
BANCO CONTINENTAL SAECA,1109345,Gastos Contado,08/24/2018 00:00:00,08/25/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,1117595,Gastos Contado,08/28/2018 00:00:00,08/28/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,1133034,Gastos Contado,08/29/2018 00:00:00,08/30/2018 00:00:00,220000,220000,9655
BANCO CONTINENTAL SAECA,5543,Gastos Contado,08/20/2018 00:00:00,08/21/2018 00:00:00,11000,11000,9655
BANCO CONTINENTAL SAECA,5591,Gastos Contado,08/21/2018 00:00:00,08/22/2018 00:00:00,1486466,1486466,9655
BANCO CONTINENTAL SAECA,5678,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,902316,902316,9655
BANCO CONTINENTAL SAECA,1080574,Gastos Contado,08/17/2018 00:00:00,08/18/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,1098585,Gastos Contado,08/22/2018 00:00:00,08/23/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,1103544,Gastos Contado,08/23/2018 00:00:00,08/24/2018 00:00:00,300000,300000,9655
BANCO CONTINENTAL SAECA,1256875,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,517059,517059,9655
BANCO CONTINENTAL SAECA,6111,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,850212,850212,9655
BANCO CONTINENTAL SAECA,1239231,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,6112,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,130569,130569,9655
BANCO CONTINENTAL SAECA,7306,Gastos Contado,09/26/2018 00:00:00,09/27/2018 00:00:00,54849,54849,9655
BANCO CONTINENTAL SAECA,6585,Gastos Contado,09/10/2018 00:00:00,09/11/2018 00:00:00,200097,200097,9655
BANCO CONTINENTAL SAECA,6926,Gastos Contado,09/17/2018 00:00:00,09/18/2018 00:00:00,72620,72620,9655
BANCO CONTINENTAL SAECA,6302,Gastos Contado,09/04/2018 00:00:00,09/05/2018 00:00:00,9077,9077,9655
BANCO CONTINENTAL SAECA,1318282,Gastos Contado,09/14/2018 00:00:00,09/15/2018 00:00:00,330000,330000,9655
BANCO CONTINENTAL SAECA,1323480,Gastos Contado,09/17/2018 00:00:00,09/18/2018 00:00:00,330000,330000,9655
BANCO CONTINENTAL SAECA,6740,Gastos Contado,09/12/2018 00:00:00,09/13/2018 00:00:00,734114,734114,9655
BANCO CONTINENTAL SAECA,6925,Gastos Contado,09/17/2018 00:00:00,09/18/2018 00:00:00,3476638,3476638,9655
BANCO CONTINENTAL SAECA,6584,Gastos Contado,09/10/2018 00:00:00,09/11/2018 00:00:00,2228358,2228358,9655
BANCO CONTINENTAL SAECA,1311753,Gastos Contado,09/13/2018 00:00:00,09/14/2018 00:00:00,300000,300000,9655
BANCO CONTINENTAL SAECA,6861,Gastos Contado,09/14/2018 00:00:00,09/15/2018 00:00:00,11000,11000,9655
BANCO CONTINENTAL SAECA,1361812,Gastos Contado,09/21/2018 00:00:00,09/22/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,6644,Gastos Contado,09/11/2018 00:00:00,09/12/2018 00:00:00,29098766,29098766,9655
BANCO CONTINENTAL SAECA,6739,Gastos Contado,09/12/2018 00:00:00,09/13/2018 00:00:00,1344192,1344192,9655
BANCO CONTINENTAL SAECA,1302168,Gastos Contado,09/11/2018 00:00:00,09/12/2018 00:00:00,265000,265000,9655
BANCO CONTINENTAL SAECA,1331316,Gastos Contado,09/19/2018 00:00:00,09/20/2018 00:00:00,110000,110000,9655
BANCO CONTINENTAL SAECA,1345801,Gastos Contado,09/20/2018 00:00:00,09/21/2018 00:00:00,165000,165000,9655
BANCO DO BRASIL SA,2322,Gastos Contado,07/09/2018 00:00:00,07/10/2018 00:00:00,188396,188396,37402
BANCO DO BRASIL SA,2330,Gastos Contado,07/10/2018 00:00:00,07/11/2018 00:00:00,46417551,46417551,37402
BANCO DO BRASIL SA,2377,Gastos Contado,07/13/2018 00:00:00,07/14/2018 00:00:00,188719,188719,37402
BANCO DO BRASIL SA,2263,Gastos Contado,07/03/2018 00:00:00,07/04/2018 00:00:00,18841,18841,37402
BANCO DO BRASIL SA,2262,Gastos Contado,07/03/2018 00:00:00,07/04/2018 00:00:00,30853,30853,37402
BANCO DO BRASIL SA,2426,Gastos Contado,07/18/2018 00:00:00,07/19/2018 00:00:00,42337,42337,37402
BANCO DO BRASIL SA,2639,Gastos Contado,08/06/2018 00:00:00,08/07/2018 00:00:00,35599314,35599314,37402
BANCO DO BRASIL SA,2918,Gastos Contado,08/28/2018 00:00:00,08/29/2018 00:00:00,38637124,38637124,37402
BANCO DO BRASIL SA,2654,Gastos Contado,08/06/2018 00:00:00,08/07/2018 00:00:00,284475,284475,37402
BANCO DO BRASIL SA,2658,Gastos Contado,08/06/2018 00:00:00,08/07/2018 00:00:00,284475,284475,37402
BANCO DO BRASIL SA,2923,Gastos Contado,08/29/2018 00:00:00,08/30/2018 00:00:00,287860,287860,37402
BANCO DO BRASIL SA,2925,Gastos Contado,08/29/2018 00:00:00,08/30/2018 00:00:00,287860,287860,37402
BANCO DO BRASIL SA,2656,Gastos Contado,08/06/2018 00:00:00,08/16/2018 00:00:00,284475,284475,37402
BANCO DO BRASIL SA,3217,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,290556,290556,37402
BANCO DO BRASIL SA,3219,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,290556,290556,37402
BANCO DO BRASIL SA,3226,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,35599314,35599314,37402
BANCO GNB PARAGUAY SA,22077,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,17454827,17454827,40934
BANCO GNB PARAGUAY SA,34038,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,40503497,40503497,40934
BANCO ITAU PARAGUAY S.A.,1324080,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,33087787,33087787,11368
BANCO ITAU PARAGUAY S.A.,1561991,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,3399880,3399880,11368
BANCO ITAU PARAGUAY S.A.,1640072,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,41255752,41255752,11368
BANCO ITAU PARAGUAY S.A.,1877327,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,3036132,3036132,11368
BANCO REGIONAL SAECA,11740,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,107191949,107191949,10024
BANCO REGIONAL SAECA,11739,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,2420000,2420000,10024
BANCO REGIONAL SAECA,17726,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,65397994,65397994,10024
BANCOP SA,45653,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,1601794,1601794,17374
BANCOP SA,45654,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,121797191,121797191,17374
BANCOP SA,50520,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,92308002,92308002,17374
BANCOP SA,50519,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,1392160,1392160,17374
BBVA PARAGUAY S.A.,776907,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,7421794,7421794,9878
BBVA PARAGUAY S.A.,776906,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,35130970,35130970,9878
BBVA PARAGUAY S.A.,843013,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,27200628,27200628,9878
BBVA PARAGUAY S.A.,843014,Gastos Contado,08/31/2018 00:00:00,09/01/2018 00:00:00,15781439,15781439,9878
"BECKER, ALCEU JOAO",17303,Gastos Contado,09/25/2018 00:00:00,09/26/2018 00:00:00,200000,200000,10292
BELLINI S.A.,24815,Gastos Contado,09/17/2018 00:00:00,09/18/2018 00:00:00,35000,35000,17574
"BENITEZ NAVERRO, PEDRO PABLO",23683,Gastos Contado,09/24/2018 00:00:00,09/25/2018 00:00:00,70000,70000,11116
BEPSA DEL PARAGUAY S.A.E.C.A.,27732,Gastos Contado,08/01/2018 00:00:00,08/02/2018 00:00:00,84000,84000,35854
BEPSA DEL PARAGUAY S.A.E.C.A.,25588,Gastos Contado,07/31/2018 00:00:00,08/01/2018 00:00:00,20592,20592,35854
BEPSA DEL PARAGUAY S.A.E.C.A.,32554,Gastos Contado,09/01/2018 00:00:00,09/02/2018 00:00:00,84000,84000,35854
BIOCOMPANY,13623,Gastos Credito,09/30/2018 00:00:00,10/08/2018 00:00:00,41183411,41183411,64293
"BOGARIN GOMEZ, MIGUEL ANTONIO",1831,Gastos Credito,09/27/2018 00:00:00,10/27/2018 00:00:00,770000,770000,36566
BONIMAR S.A.,120685,Gastos Contado,02/10/2017 00:00:00,02/10/2017 00:00:00,4,4,37332
BONIMAR S.A.,56554,Gastos Contado,09/17/2018 00:00:00,09/18/2018 00:00:00,83749,83749,37332
BRINGCO S.A,20218,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,40800,40800,13894
BRINGCO S.A,11301,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,13260,13260,13894
BRINGCO S.A,43543,Gastos Credito,10/01/2018 00:00:00,10/31/2018 00:00:00,728849,728849,13894
"BRITOS VILLALBA, MILKA CAMILA",4871,Gastos Contado,09/20/2018 00:00:00,09/21/2018 00:00:00,60000,60000,50585
"CABRERA ROJAS, GLORIA LILIANA",328,Gastos Contado,09/20/2018 00:00:00,09/21/2018 00:00:00,68000,68000,68405
"CACERES, ANDRES",11766,Gastos Contado,09/25/2018 00:00:00,09/26/2018 00:00:00,180000,180000,50740
CADENA FARMACENTER SA,16865,Gastos Contado,02/16/2018 00:00:00,02/22/2018 00:00:00,63000,63000,10231
CADENA REAL SA,64978,Gastos Contado,01/02/2017 00:00:00,01/03/2017 00:00:00,1,1,9617
CADENA REAL SA,58137,Gastos Contado,01/28/2017 00:00:00,01/29/2017 00:00:00,1,1,9617
CADENA REAL SA,44390,Gastos Contado,03/15/2017 00:00:00,03/16/2017 00:00:00,8,8,9617
CADENA REAL SA,1626,Gastos Contado,04/10/2017 00:00:00,04/11/2017 00:00:00,3,3,9617
CADENA REAL SA,5449,Gastos Contado,04/28/2017 00:00:00,04/29/2017 00:00:00,1,1,9617
CADENA REAL SA,15995,Gastos Contado,06/02/2017 00:00:00,06/03/2017 00:00:00,1,1,9617
CADENA REAL SA,15692,Gastos Contado,06/13/2017 00:00:00,06/14/2017 00:00:00,1,1,9617
CADENA REAL SA,35483,Gastos Contado,11/22/2017 00:00:00,11/23/2017 00:00:00,2,2,9617
CADENA REAL SA,43988,Gastos Contado,01/15/2018 00:00:00,01/26/2018 00:00:00,8036,8036,9617
CADENA REAL SA,23444,Gastos Contado,09/18/2018 00:00:00,09/19/2018 00:00:00,16650,16650,9617
CADENA REAL SA,19585,Gastos Contado,09/20/2018 00:00:00,09/21/2018 00:00:00,54650,54650,9617
