Empresa,Yhaguy,,,,,,,,
,,,,,,,,,
CODIGO,DESCRIPCION,FAMILIA,MARCA,APLICACION,MODELO,GRUPO,LINEA,PESO,VOLUMEN
SC-268,CONEXION PULMON M18 X 1/4,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT MAA 300 5/16,MANGUERA FORRADA 8 mm /16,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC 400213,OJAL DE 14mm P/ CA�O 12X9,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-093,NIPLE COMPRESOR M/N 22X26,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
JF-125,FARO REFLECTOR BLANCO-125,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-800110,PRISIONERO ARRANQUE 16X50,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-11,TENSOR DIRECCION MB RECTO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN H12111,FILTRO DE ACEITE 1113 MAN,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
VISC 28363,PANAL RADIADOR 709/711/912,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
COR 59800 K,REPARO BOMB. DIR. HIDR M/V,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
NSK 6201,RULEMAN 6201 NSK ALTENADOR,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN-3691,MANGUERA 5/16 TRANSPARENTE,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT MOG 250 3/8,MANGUERA FORRADA 10 mm 3/8,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT MOG 250 5/8,MANGUERA FORRADA 16 mm 5/8,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT MAA 300 3/4,MANGUERA FORRADA 19 mm 3/4,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-50100,MANIJA TRAVA VENTILETE L/D,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
NARV 17315,FOCO TUBULAR 12V 10W NARVA,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-191,CODO PLASTICO EMBRAGUE 608,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
V-11683,SOPORTE FILTRO COMB S/VASO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
AP-071,SOPORTE FILTRO COMB S/VASO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
LON 309XX,FIBRA SV230 LONAFLEX L-309,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
RX-135H,CARBON ARRANQUE SC 124 JGO.,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT MOG 250 1/2,"MANGUERA FORRADA 12,7mm 1/2",REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GAT MOG 250 1/4,"MANGUERA FORRADA 6,3 mm 1/4",REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
D-130,FUSIBLE FICHA 40 AMPER ROJO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC LO015D,PROLONGADOR DE RODOAR 60mm.,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-061,CA�O SERVO EMBRAGUE MB 12.2,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GER 00.132.003,ENGRANAJE 5TA TURBO M/V MAE,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN C27902,FILTRO DE AIRE 1721 EXTERNO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN C29200,FILTRO DE AIRE MB 300 TURBO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN WK1040,FILTRO DE COMBUSTIBLE MB/SC,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAE 00.132.012,ENCASTRE 5 M/V SENCILLO MAET,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB VD02900,RELAY L/ PARABRISA 24V SC/MB,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
UNIO 9001,REMACHE BRONCE10X10 PICUDITO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-038,TAPA DEPURADOR A MARIPOSA MB,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
PH-2503,TERMINAL DIREC.608 LARGO IZQ,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
PH-2502,TERMINAL DIREC.608 LARGO DER,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-067,PERNO METRALLETA EMBRAGUE ZF,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MAN-W962,FILTRO DE ACEITE /HIDRAULICO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
WK 1060,FILTRO DE COMBUSTIBLE OM 904,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
ED-2077,REPARO ALTERNADOR 75AMP COMPL,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC-1324294,PERNO RESORTE TAPA CAJA SC124,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC 1467300.1,CODO FRENO MOTOR SC 124 CORTO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
NIN F-118BL,FARO REFLECTOR DEL SC-112/113,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
SC 1375510,CA�O LUBRICADOR ACEITE T112/3,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-106,CA�O TURBINA M/N 366 ALUMINIO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
CR-94,PRISINERO BRIDA CARDAN OM 904,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
B-FU707,FILTRO DE COMB.FELPA 1113 MAN,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-078,FLEXIBLE TURBINA M/N METALICO,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
GER 00.132.011,EJE CUADRUPLE M/V MAET GERMANY,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
MB-084,KIT BUJE PALANCA DE CAMBIO 608,REPUESTOS,COMPRA LOCAL,Sin Color,VARIOS,Sin Grupo,PESADA,0,0
